institucion,estado,dominio_real,nombre_real,url_programas,cantidad_aprox,niveles_vistos,nota
Simmons University,dominio_nuevo,simmons.edu,Simmons University,https://www.simmons.edu/academics/programs,130,pregrado;posgrado;doctorado;certificados;online;acelerados 3+1/4+1/3+3,"La ficha no traia dominio ni ciudad. simmons.edu vive (Cloudflare, 200 con UA de Chrome) y es Simmons University, Boston MA (Fenway). El listado 'Find a Program' es plano A-Z, ~130 fichas entre majors, minors, concentrations, masters, doctorados y certificados; conte 97 enlaces unicos en el HTML crudo, asi que parte del listado se pinta por JS: si la extraccion trae menos de 90 se quedo corta. OJO CONTRA LA FICHA: puede_vender dice 'pathway' y en el sitio NO se ve ningun pathway, foundation, bridge ni instituto de ingles; Simmons solo tiene servicios de apoyo para internacionales. Validar con el cliente de donde sale ese pathway antes de vender."
Southern Illinois Universiy,ok,,Southern Illinois University Carbondale,https://www.siu.intostudy.com/en/degrees,220,"pregrado (direct entry, first-year y transfer);posgrado (master y doctorado);pathway INTO","Dominio de la ficha vivo y correcto: es el centro INTO de Southern Illinois University. Correcciones: el nombre de la ficha tiene errata ('Universiy') y la institucion es SIU CARBONDALE, no 'Illinois' a secas como dice la ciudad. El sitio declara 150+ grados de pregrado y 70+ de posgrado (~220). PROBLEMA TECNICO PARA LA EXTRACCION: /en/degrees es Next.js y el listado se pinta por JavaScript - el HTML crudo no trae un solo enlace a ficha de programa, solo el texto plantilla 'degrees found'. El sitemap.xml tiene 30 URLs y ninguna es de programa. Sin navegador headless de aqui no sale catalogo."
St. Thomas University,dominio_nuevo,stu.edu,St. Thomas University,https://www.stu.edu/programs/,60,pregrado;posgrado;doctorado;derecho (JD),"La ficha no traia dominio. stu.edu vive y es la St. Thomas University catolica de MIAMI GARDENS, FL (no Miami ciudad, corregir). OJO AL HOMONIMO: existen al menos otras dos con ese nombre (St. Thomas University de Fredericton, Canada, stu.ca, y University of St. Thomas de Minnesota, stthomas.edu); esta es la de Florida, con College of Law propio. Listado en /programs/ organizado por colleges (nursing, business, health sciences, liberal arts) mas online."
Suffolk University,ok,,,https://www.suffolk.edu/academics/undergraduate-programs,200,"pregrado (majors, minors, concentrations, associate);posgrado;doctorado;derecho (JD/LLM);certificados;acelerados 4+1","Dominio correcto y vivo (suffolk.edu redirige a www). El catalogo NO esta en una sola pagina: se parte en tres listados, /academics/undergraduate-programs (~135 fichas), /academics/graduate-programs y /academics/law-programs. OJO: /academics/majors-programs NO existe y su 404 parece una pagina normal (trae buscador y sugerencias de programas); no confundirlo con catalogo. Contra la ficha: puede_vender dice 'todos' pero en el sitio no se ve instituto de ingles ni pathway propio; el ingles solo aparece como requisito de admision."
Summer Discovery,dominio_nuevo,summerdiscovery.com,"Summer Discovery (Musiker Discovery Programs, Inc.)",https://www.summerdiscovery.com/courses,300,"vacacional/pre-universitario (middle school, high school, elementary);internships;cursos de verano en campus universitario","La ficha no traia dominio ni ciudad. NO es una institucion con sede propia: es un operador de programas de verano que alquila campus ajenos (UPenn Carey Law, Yale, Cornell, Dartmouth, University of Oregon; declara 15+ campus en Norteamerica y Europa). Declara 300+ cursos, precios USD 4.499-11.999. No emite titulos: la ficha dice puede_vender 'todos' y eso es falso, aqui solo hay vacacional/pre-college. Razon social Musiker Discovery Programs, Inc."
TALK International,ok,,TALK Schools (TALK English Schools),https://www.talk.edu/english-courses/,12,"idiomas (ingles general, intensivo, one-to-one, especializado);vacacional (teen y junior, family, university tour)","Dominio correcto y vivo. Catalogo corto y agrupado en 4 familias (General English, One-to-One, Specialized English, Focused Packages) que se despliegan en ~12 variantes por intensidad. Correccion de ficha: la ficha solo pone Atlanta, pero las sedes en USA son Atlanta, Aventura, Boston, Fort Lauderdale y Miami. En su propio sitio se llama TALK Schools, no 'TALK International'."
TLA The Language Academy,ok,,TLA - The Language Academy,https://languageacademy.com/courses-fees/,6,"idiomas (general intensive, english for executives);examenes (TOEFL/IELTS);vacacional (summer programs);otros idiomas (foreign language program)","Dominio correcto y vivo (Cloudflare). OJO: /courses-fees/ da 403 a fetch pelado y 200 con User-Agent de Chrome mas cabeceras Sec-Fetch; no es sitio caido. Catalogo MUY corto: el page-sitemap.xml deja ver 6 familias de curso (general-intensive-course, english-for-executives, examination-courses, summer-programs, foreign-language-program y la portada courses-fees). Fort Lauderdale confirmado como sede; los titulos del sitio tambien mencionan Miami y Los Angeles/California, que la ficha no registra."
Texas A&M University-Corpus Christi,dominio_nuevo,tamucc.edu,Texas A&M University-Corpus Christi,https://www.tamucc.edu/programs/index.php,80,pregrado;posgrado (master);doctorado;certificados,"HALLAZGO: isc.tamucc.edu VIVE y es de esta universidad, pero es el International Study Center que opera STUDY GROUP y NO PUBLICA UN SOLO PROGRAMA. Su sitemap completo son 28 URLs: admisiones, tasas, visado, alojamiento, vida en campus y blog. Cero paginas de curso, cero seccion /programs o /courses. Para el posgrado que autoriza la ficha hay que ir a tamucc.edu/programs/index.php ('Program Finder'), que ademas se pinta por JavaScript (el HTML crudo no trae enlaces a fichas de programa). Ciudad de la ficha mal: es Corpus Christi, no 'Texas'."
Texas State University,dominio_nuevo,txst.edu,Texas State University,https://mycatalog.txstate.edu/,221,pregrado (104 bachelor);posgrado (94 master);doctorado (23),"DOMINIO DE LA FICHA MAL PUESTO: 'intostudy.com' es el portal corporativo global de INTO University Partnerships, no un sitio de Texas State; si se extrae de ahi salen programas de otras universidades. Comprobado ademas que txst.intostudy.com SI resuelve en DNS pero devuelve 404 - no hay centro INTO propio, y el portal de socios de INTO lista hoy a Texas State solo como 'Direct Entry only Partner University'. El catalogo real vive en txst.edu (dominio espejo txstate.edu, misma IP): mycatalog.txstate.edu es el catalogo academico completo, admissions.txst.edu/life-at-txst/majors-and-degrees.html el de pregrado y gradcollege.txst.edu/programs.html el de posgrado. Ciudad real San Marcos, TX. El 'idiomas' que autoriza la ficha no aparece en el sitio."
Texas Wesleyan University,dominio_nuevo,txwes.edu,Texas Wesleyan University,https://catalog.txwes.edu/,55,"pregrado (30+ majors);posgrado (18 programas);doctorado (EdD, DNAP, DNP, PhD en Marriage & Family Therapy)","La ficha no traia dominio ni puede_vender. txwes.edu vive y es Texas Wesleyan University, FORT WORTH, TX (la ficha solo dice 'Texas'). El catalogo formal esta en un SUBDOMINIO, catalog.txwes.edu; las paginas de marketing son txwes.edu/academics/undergraduate-majors/ y /academics/graduate-programs/. Universidad chica: 30+ majors de pregrado, 18 de posgrado y 4 doctorados, en cuatro escuelas."
