institucion,estado,dominio_real,nombre_real,url_programas,cantidad_aprox,niveles_vistos,nota
Colorado Mesa University,ok,,,https://www.coloradomesa.edu/academics/program-search.html,150,certificado;asociado;pregrado;posgrado;doctorado,"La ciudad real es Grand Junction, CO; la ficha pone 'Colorado' (el estado). puede_vender=[pregrado] se queda corto: tambien hay masters (MBA, MS, MA Education) y doctorados (DPT, DNP)."
Colorado State University,ok,,,https://www.colostate.edu/academics/,300,pregrado;posgrado;doctorado;online,"OJO extraccion: el apex colostate.edu resetea la conexion TLS (curl 35), solo responde www.colostate.edu. Esta en Fort Collins, no en 'Colorado'. No hay una sola pagina de catalogo: se parte por los 8 colleges, Graduate School y CSU Online. No encontre centro de idiomas propio, asi que puede_vender=[idiomas] queda sin respaldo en el sitio."
Community College of Philadelphia,ok,,,https://www.ccp.edu/degrees-programs/program-finder,200,asociado;certificado academico;certificado de competencia;transferencia,puede_vender=[pathway] no corresponde a un producto del sitio: lo que hay son associate degrees (AA/AS/AAS) y certificados con acuerdos de transferencia a universidades de Pennsylvania. El listado completo esta en /degrees-programs/all-academic-offerings.
DePaul University,dominio_nuevo,depaul.edu,,https://www.depaul.edu/academics/programs,273,pregrado;posgrado,"globalgateway.depaul.edu ya NO es un sitio de DePaul: hace 301 a students.studygroup.com/study-options/direct-admit/depaul-university, propiedad de Study Group, que solo lista ~13 carreras de admision directa para internacionales. El catalogo real (128 majors de pregrado + 145 programas de posgrado) esta en depaul.edu. Extraer del dominio de la ficha da el recorte de un tercero."
Encompass,ok,,Encompass Experiences,https://www.encompassexp.net/high-school-middle-school,6,high_school;middle_school;idiomas (ESL);inmersion;colocacion universitaria,"No es un colegio: es una agencia de colocacion en West Covina, CA. Publica 6 paginas de categoria (immersion, high school/middle school, academic placement, family program, experience-based, ESL and activity) sin fichas de programa individuales ni precios. La extraccion va a sacar 6 entradas genericas, no un catalogo."
English Language Centre ELC,ok,,English Language Center (ELC),https://elc.edu/english-courses/,6,idiomas,"Tiene tres campus: Los Angeles (UCLA), Santa Barbara (UCSB) y Boston; la ficha solo dice California. puede_vender=[todos] es falso: solo cursos de ingles (General, Semi-Intensive, electivos) y programas junior/adulto de verano. No otorga titulos."
Excel English Institute,ok,,,https://excelenglishinstitute.com/programs,6,idiomas,"Esta en el area de Dallas con dos campus (Richardson y Arlington); la ficha solo dice 'Texas'. 6 programas: Intensive English, TOEFL Prep, Business English, Accent Reduction, electivos y clases personalizadas. Coherente con puede_vender=[idiomas]."
FAU - Florida Atlantic University,ok,,Florida Atlantic University,https://www.fau.edu/programs/,500,pregrado;posgrado;doctorado;certificados de grado y posgrado,"Catalogo grande repartido en 9 colleges y 6 campus (Boca Raton, Davie, Jupiter, Fort Lauderdale, Dania Beach, Harbor Branch). Si la extraccion trae menos de 200 se quedo en la portada."
Fryeburg Academy,ok,,,https://www.fryeburgacademy.org/academics/course-catalogue,150,high_school (grados 9-12);idiomas (ESOL I-IV),"La categoria 'College Privado' de la ficha es incorrecta: es un internado de secundaria en Fryeburg, MAINE (la ficha escribe 'Fryegurg' y no da estado). Lo que publica son cursos de bachillerato por departamento (8 departamentos), no programas vendibles sueltos; el producto real para un estudiante internacional es el ano academico + ESOL."
Hofstra University,ok,,,https://www.hofstra.edu/academics/academic-offerings/,375,pregrado;posgrado;doctorado;certificados;educacion continua,"Esta en Hempstead, Nueva York (la ficha no trae ciudad). El sitio declara 175+ areas de pregrado y 200+ de posgrado en 13 escuelas. No vi instituto de idiomas propio en el sitio, asi que la parte 'idiomas' de puede_vender=[todos] no esta respaldada."
