institucion,estado,dominio_real,nombre_real,url_programas,cantidad_aprox,niveles_vistos,nota
Universal English,ok,,,https://www.universalenglish.edu.au/courses,8,idiomas;vocacional,"Melbourne CBD, 131 Queen St. 5 cursos ELICOS (General English, ACE, EAP/IELTS, Cambridge B2 y C1) mas Master Barista, grupos anuales y campamentos juveniles. Es hermana de Universal Higher Education (uhe.edu.au): mismo grupo, otro CRICOS, no mezclar los dos catalogos."
Universal Higher Education UHE,ok,,,https://www.uhe.edu.au/courses,6,pregrado;posgrado,"OJO con puede_vender: la ficha dice 'vocacional' y UHE no vende nada vocacional. Son 2 bachelors (IT y Multinational Film Production, este ultimo cerrado a nuevas solicitudes), Master of IT con especializacion en IA o Ciberseguridad, Master of Engineering Management, y grad cert + grad diploma de IT. Melbourne."
University of Canberra College,ok,,UC College (University of Canberra College),https://www.canberra.edu.au/uc-college/courses,10,pathway;idiomas;posgrado,"CUIDADO EN LA EXTRACCION: canberra.edu.au es la universidad entera (cientos de grados) y UC College es solo la seccion /uc-college; no tiene dominio propio. Extraer SOLO de /uc-college/courses: 6 diplomas (Business, Communication, Design, Health, IT, Science) + Foundation Studies + Graduate Certificate in Academic Foundations + ELICOS del UCC English Language Centre. Si se extrae del root sale el catalogo de la universidad firmado como el college."
University of Newcastle,ok,,,https://www.newcastle.edu.au/degrees,213,pregrado;posgrado;pathway,Devolvia 403 con user-agent generico; con User-Agent de Chrome mas cabeceras Sec-Fetch responde 200. No esta caida. Conte 213 titulos distintos (Bachelor/Master/Diploma/Doctor/Graduate Certificate) en /degrees.
University of Tasmania,ok,,,https://www.utas.edu.au/courses,300,pregrado;posgrado;vocacional;idiomas,"El buscador 'Courses and Units' es una app JS: la pagina existe (200) pero el listado no viene en el HTML, asi que 300 es estimacion y no conteo. /course-search es 404 y coursesandunits.utas.edu.au no resuelve. Ingles y cursos cortos cuelgan de /study/pathways-to-university y /study/short-courses."
University of Tasmania International Pathway College,ok,,University of Tasmania International Pathway College (UP Education),https://utas.up.education/foundation-studies/,5,pathway;posgrado,"Dominio correcto y es el sitio especifico del pathway college, no el de la universidad: bien puesto en la ficha. Foundation Studies (Standard y Fast-Track), International First Year Diploma y Postgraduate Pathways. Catalogo chico y presentado como rutas, no como lista de programas."
University of Western Australia,ok,,,https://www.uwa.edu.au/study/explore-courses,200,pregrado;posgrado,"/study/courses redirige a /study/explore-courses, que es un hub por areas y no una lista. El catalogo completo y estructurado vive en el subdominio handbooks.uwa.edu.au (200 OK): si la extraccion se queda en el hub va a sacar 12 areas en vez de programas. El 200 es estimacion."
Victorian Institute of Technology  VIT,dominio_nuevo,vit.edu.au,Victorian Institute of Technology (VIT),https://vit.edu.au/course-list,30,vocacional;pregrado;posgrado;idiomas,"La ficha no traia dominio. RTO 20829, proveedor TEQSA, fundado en 1998. Campus en Melbourne (Queen St), Sydney (The Rocks), Adelaide y ademas Geelong, que la ficha no lista. Vende mucho mas que 'vocacional': Cert III/IV, diplomas y diplomas avanzados en hosteleria, IT y carpinteria, mas Bachelor of IT and Systems, Bachelor of Business, MITS, MBA y ELICOS."
WILLIAM ANGLISS,ok,,William Angliss Institute,https://www.angliss.edu.au/courses/,25,vocacional;pregrado,"Melbourne, con campus tambien en Sydney. Especialista en alimentos, turismo, hosteleria y eventos. La ficha dice solo 'vocacional' pero tambien hay bachelors de hotel management via Angliss International Hotel School, mas cursos cortos."
Western Australia Government School,ok,,"International Education, Department of Education Western Australia",https://www.schoolsinternational.wa.gov.au/secondary-schools1,46,high_school,"La ficha lo clasifica como 'College Privado' y es exactamente lo contrario: es el programa de estudiantes internacionales del Departamento de Educacion de WA, o sea colegios publicos. No publica programas sino COLEGIOS: 46 secundarios (Canning College, Mount Lawley SHS, Fremantle College...) mas primarios en /primary-schools. La extraccion va a devolver colegios, no cursos."
