institucion,estado,dominio_real,nombre_real,url_programas,cantidad_aprox,niveles_vistos,nota
LAL,ok,,LAL Language Centres,https://lalschools.com/?post_type=course&audiences=adults,14,idiomas;preparacion de examenes (IELTS/Cambridge);English for Work;juniors/vacation;practicas y voluntariado,"OJO CON EL PAIS: el dominio vive y es de LAL, pero LAL ya NO tiene escuelas en Reino Unido. El unico destino que queda en el sitio (y en destination-sitemap.xml) es Ciudad del Cabo, Sudafrica. La ficha dice UK / Londres, Brighton: eso ya no existe. 14 cursos en course-sitemap1.xml mas online y summer schools; si se extrae, las sedes y precios seran de Sudafrica."
Liverpool John Moores University,dominio_nuevo,ljmu.ac.uk,,https://www.ljmu.ac.uk/study/courses,824,pregrado;posgrado;doctorado;CPD;degree apprenticeships,"El dominio de la ficha, ljmuisc.com, NO es la universidad: es el LJMU International Study Centre operado por Study Group, que solo vende pathway (International Foundation Year, International Year One, Pre-Masters y pre-sessional English). puede_vender incluye posgrado y eso solo lo da ljmu.ac.uk. Conte 824 fichas de curso en el sitemap (455 pregrado + 369 posgrado). Si el cliente quiere el pathway, ljmuisc.com sirve; para posgrado hay que usar ljmu.ac.uk."
MANCHESTER METROPOLITAN UNIVERSITY INTERNATIONAL COLLEGE,dominio_nuevo,mmu.ac.uk,The International College (Manchester Metropolitan University),https://www.mmu.ac.uk/international/college,3,pathway (Foundation;International Year One;Pre-Masters),"Ficha sin dominio. El college NO tiene dominio propio: vive como seccion de la universidad en mmu.ac.uk/international/college. CUIDADO EN LA EXTRACCION: si se extrae del root sale el catalogo entero de Manchester Met firmado como el college. Solo 3 lineas de producto (Foundation, International Year One, Pre-Masters) con ramas por area; los 'mas de 90 grados de progresion' que anuncia son de la universidad, no del college. mmu.ac.uk devuelve challenge de Cloudflare a fetchers simples."
MLS International,dominio_muerto,,,,,,"mls-college.co.uk responde 200 pero NO es un sitio: es un dominio aparcado en venta (title = el propio dominio, meta robots noindex, texto 'Este dominio podria estar en venta'). MLS International College (Bournemouth, fundado 1987) entro en liquidacion durante la pandemia y no reabrio. La ficha no trae ciudad, categoria ni puede_vender. No hay sitio oficial vivo que extraer."
New College Group - ncg,ok,,New College Group,https://newcollegegroup.com/our-courses/,6,idiomas;preparacion IELTS;junior/summer school;group stays,"Sitio propio vivo (WordPress). 6 lineas de curso: General English, IELTS Preparation, Skills Classes, Group Stays, Junior Summer School y Junior Year-Round. Correccion de ficha: opera CUATRO sedes (Manchester, Liverpool, Cheshire y Portsmouth), no solo Manchester y Liverpool."
Newcastle University,ok,,,https://www.ncl.ac.uk/undergraduate/degrees/,449,"pregrado;posgrado;doctorado;pathway (via INTO, sitio aparte)","CIUDAD MAL EN LA FICHA: dice Londres y Newcastle University esta en Newcastle upon Tyne; /london/ redirige a la portada (el campus NU London ya no figura) y el sitio solo menciona Newcastle, Malasia y Singapur. La web declara 'mas de 145 grados de pregrado' y conte 304 enlaces distintos en /postgraduate/degrees/. El pathway no esta en ncl.ac.uk sino en INTO Newcastle."
Northumbria University,dominio_nuevo,northumbria.ac.uk,,https://www.northumbria.ac.uk/study-at-northumbria/,540,pregrado;posgrado;doctorado;degree apprenticeships;foundation year,"Ficha sin dominio. northumbria.ac.uk vive y lista ~540 fichas de curso en /study-at-northumbria/ (268 BSc, 146 BA, ~230 MSc/MA, 32 degree apprenticeships, 14 foundation). /study-at-northumbria/courses/ redirige a esa pagina y /course-search/ es 404. puede_vender='todos' pero en el sitio no se ve oferta de idiomas independiente ni high school. La pagina pesa 800 KB y puede dar timeout a 30s."
Nottingham Trent University,dominio_nuevo,ntu.ac.uk,,https://www.ntu.ac.uk/study-and-courses/courses/find-your-course,748,pregrado;posgrado;doctorado;cursos cortos y profesionales;apprenticeships;college courses,"Ficha sin dominio. ntu.ac.uk vive pero sus subpaginas devuelven 403 de Cloudflare con UA generico: hace falta UA de Chrome + Sec-Fetch-* + Referer del mismo dominio (la portada si responde directa). El buscador es Funnelback: search.json de ntu-search.funnelback.squiz.cloud da totalMatching=748 en la coleccion ntu~sp-courses (incluye cursos cortos). El pathway de puede_vender lo vende Nottingham Trent International College, de otro operador, que no cuelga de ntu.ac.uk."
Oxford International,ok,,Oxford International Education Group (OIEG),https://www.oxfordinternational.com/courses/,1457,idiomas;pathway (foundation;international year one;pre-masters);pregrado;posgrado;vocacional,"AVISO GRANDE PARA LA EXTRACCION: no es una institucion, es un proveedor/agregador. Las 1.457 fichas de course-sitemap.xml + course-sitemap2.xml (1.320 con prefijo 'degree-' y 137 'pathway-') son programas de sus 27 UNIVERSIDADES SOCIAS, no suyos. Entre esas socias estan Ravensbourne, University of Dundee, Ulster University y Coquitlam College, que ya son fichas propias del catalogo del cliente: extraer este dominio duplica esos programas y les cambia el dueno. Lo unico propio son sus dos centros de idiomas (Oxford International Oxford Centre y London Centre). Paises: UK, USA, Canada, Australia y Alemania."
Oxford Royale,ok,,Oxford Royale,https://www.oxford-royale.com/courses,46,summer school 12-15;summer school 16-18;ingles academico,"46 fichas curso-sede en el sitemap. Correccion de ficha: no es solo Oxford; hay Cambridge (14 cursos), Londres (6) y Nueva York (1) ademas de Oxford (25). puede_vender=[high_school] es aproximado: son cursos de verano para edades de secundaria (12-15 y 16-18), no un diploma de high school. Materias: medicina, derecho, ingenieria, IA, negocios, economia, arquitectura, cine, psicologia y Learn English."
