institucion,estado,dominio_real,nombre_real,url_programas,cantidad_aprox,niveles_vistos,nota
Bournemouth University,dominio_nuevo,bournemouth.ac.uk,,https://www.bournemouth.ac.uk/courses,400,pregrado;posgrado;doctorado;foundation,"La ficha no traia dominio. bournemouth.ac.uk vive y es la universidad; ojo que NO esta en Bournemouth ciudad sino en Fern Barrow, Poole (Dorset). El catalogo se abre en /courses partido en tres listados (undergraduate, postgraduate taught, postgraduate research) mas foundation degrees; no hay un listado plano unico. El pathway que autoriza la ficha lo entrega Bournemouth University International College (Kaplan), que es sitio aparte y no cuelga de este catalogo. www.bournemouth.ac.uk/study/courses da 403 a fetch pelado y 200 con User-Agent de Chrome, redirigiendo a /courses."
Brunel University,dominio_nuevo,brunel.ac.uk,Brunel University of London,https://www.brunel.ac.uk/study/courses,500,foundation;pregrado;posgrado;doctorado;pre_masters,"La ficha no traia dominio. Correccion de nombre: desde 2024 se llama Brunel University OF London (antes Brunel University London). Campus unico en Uxbridge, oeste de Londres. El buscador filtra por nivel: foundation, pregrado, posgrado, research degrees, pre-Masters y CPD, y no declara total; el listado es A-Z."
Bucksmore Education,dominio_nuevo,bucksmore.com,Bucksmore Education,https://www.bucksmore.com/courses,44,idiomas;pre_universitario;tutoria,"La ficha no traia dominio ni categoria. NO es un colegio ni una universidad: es un operador de cursos de verano y tutoria para 11-17 anos que alquila sedes ajenas (OIC Brighton, King's College London, d'Overbroeck's y St Hilda's en Oxford, St Catharine's en Cambridge). Unas 44 opciones entre English Foundation (9), Young Professionals (11), Pre-University (14) y home tuition (10). No emite titulos propios; nada de pregrado ni posgrado."
Cardiff University,dominio_nuevo,cardiff.ac.uk,,https://www.cardiff.ac.uk/study/undergraduate/courses,500,pregrado;posgrado;doctorado;foundation;idiomas,"El dominio de la ficha, isc.cardiff.ac.uk, VIVE pero es solo el International Study Centre que opera Study Group: unas 5 fichas de pathway (International Foundation Year, foundation acelerado de 22 semanas, International Year One, Pre-Master's y preparacion de ingles). NO es el catalogo de la universidad. Para el posgrado que autoriza la ficha hay que ir a cardiff.ac.uk. Ciudad de la ficha mal expresada: Gales es el pais, la ciudad es Cardiff."
"City St Georges, University of London",dominio_nuevo,citystgeorges.ac.uk,"City St George's, University of London",https://www.citystgeorges.ac.uk/study,400,pregrado;posgrado;doctorado;foundation;cursos_cortos,"city.ac.uk responde 301 a citystgeorges.ac.uk: fusion de City, University of London con St George's (2024), no es una caida. El catalogo se parte en undergraduate, foundation, postgraduate taught, postgraduate research y short courses. OJO: /study da 403 a fetch pelado y cede con User-Agent de Chrome. Idiomas: la ficha autoriza 'idiomas' pero en el sitio solo se ven short courses de lenguas y pre-sessional, no un instituto de ingles general."
"City, University of London",dominio_nuevo,citystgeorges.ac.uk,"City St George's, University of London",https://www.citystgeorges.ac.uk/study,400,pregrado;posgrado;doctorado;foundation;cursos_cortos,"DUPLICADA: es la misma institucion que la ficha 'City St Georges, University of London' de este mismo lote. La ficha no traia dominio; el nombre 'City, University of London' dejo de existir en 2024 al fusionarse con St George's. Consolidar las dos fichas antes de extraer o el catalogo saldra por duplicado."
Communicate School,dominio_muerto,,,,,,"200 OK ENGANOSO: communicateschool.co.uk devuelve una pagina de 114 bytes que redirige por JS a /lander, un parking de GoDaddy. El sitio no existe. Communicate School of English (85 Piccadilly, Manchester) fue comprada por Malvern International en 2018 y renombrada Malvern House Manchester; Malvern anuncio la salida del negocio de ingles general para adultos y hoy solo opera Malvern House LONDRES (malvernhouse.com, pathways NCUK y teacher training). No hay sede en Manchester que vender."
Cranfield University,dominio_nuevo,cranfield.ac.uk,Cranfield University,https://www.cranfield.ac.uk/courses,100,posgrado;doctorado;cursos_cortos;pre_masters,"La ficha no traia dominio ni ciudad. Cranfield es EXCLUSIVAMENTE de posgrado: no tiene pregrado. El sitio declara 100+ titulaciones y 400+ cursos de desarrollo profesional. Dos campus, Cranfield (Bedfordshire) y Shrivenham (Defence Academy). Si existe pre-Master's, asi que el 'pathway' de la ficha se sostiene."
Durham University,ok,,,https://www.dur.ac.uk/study/courses/,300,pregrado;posgrado;doctorado,"dur.ac.uk vive y sirve el sitio completo de Durham University con 200 (no redirige), pero el dominio canonico hoy es durham.ac.uk: el propio buscador del sitio dice 'Search durham.ac.uk'. Extraer por dur.ac.uk funciona; si algo falla, reintentar en durham.ac.uk. El listado declara 300+ cursos de pregrado y posgrado impartido. El pathway que autoriza la ficha lo entrega Durham University International Study Centre (Study Group), sitio aparte."
EP English Path / GBS Group,ok,,English Path,https://www.englishpath.com/courses/,30,idiomas;teacher_training;pathway;certificados_profesionales,"Dominio correcto y vivo. Correccion de ciudades: en UK las sedes son LONDRES, BIRMINGHAM y LEEDS; NO hay Manchester, que si figura en la ficha. Ademas tiene Dublin, Malta, Paris, Berlin y Toronto, que la ficha no registra. El sitemap lista ~30 cursos: ingles general en 5 intensidades, IELTS, business, aleman, frances, arabe, CELTA, young learners, work and study y pathways. Confirmado que pertenece al grupo GBS/GEDU."
English Studio,dominio_nuevo,englishstudio.com,The English Studio,https://englishstudio.com/english-language-courses/,10,idiomas;jovenes,"La ficha no traia dominio ni ciudad. Es una escuela de ingles en LONDRES (junto al British Museum), abierta desde 1997. Catalogo corto: General English, Intensive, Business English, IELTS, versiones nocturnas, cursos online y Young Learners day school. OJO: la home tiene parrafos de SEO spam insertados (casinos online, noticias deportivas de New Jersey) que no son contenido academico; filtrarlos al extraer. Tuvo sede en Dublin y el sitio conserva una pagina de visado irlandes, pero en Locations solo aparece Londres."
GLOBAL BANKING SCHOOL UK,ok,,Global Banking School (GBS),https://globalbanking.ac.uk/courses/,21,foundation;pregrado;hnd;posgrado,"Dominio correcto y vivo. Las cuatro ciudades de la ficha se confirman (Londres con 5 sedes, Birmingham, Manchester y Leeds). NO otorga titulos propios: los grados los emiten Bath Spa, Canterbury Christ Church, Oxford Brookes y University of Suffolk, y los HND son Pearson. Unos 21 programas en negocios y finanzas, construccion, computacion, salud y asistencia social, gestion de proyectos y psicologia."
GLOBAL BANKING TRAINING,dominio_muerto,,,,,,"200 OK ENGANOSO: globalbankingschool.com devuelve un 'Index of /' vacio de LiteSpeed (solo cgi-bin), no un sitio. Esta ficha es casi con seguridad un DUPLICADO de 'GLOBAL BANKING SCHOOL UK' de este mismo lote: misma ciudad, misma categoria y mismo puede_vender, y globalbankingschool.com es el nombre viejo de GBS (hoy globalbanking.ac.uk). NO confundir con globalbankingtraining.com, que si existe pero es otra empresa: formacion corporativa en modelado financiero y banca de inversion, sin titulaciones. No adivinar: confirmar con el cliente cual de las dos queria."
Guildford College of Further and Higher Education,dominio_nuevo,guildford.activatelearning.ac.uk,Guildford College (Activate Learning),https://guildford.activatelearning.ac.uk/courses,300,vocacional;a_levels;aprendizajes;idiomas_esol;educacion_superior,"La ficha no traia dominio. guildford.ac.uk responde 301 a guildford.activatelearning.ac.uk: el college se integro al grupo Activate Learning y ya no tiene sitio propio; el catalogo esta bajo el dominio del grupo. OJO con lo que autoriza la ficha: lo unico de idiomas es ESOL, pensado para residentes en UK, no un instituto de ingles para estudiantes internacionales. El grueso son cursos vocacionales, A Levels y aprendizajes. El sitio da 403 a fetch pelado y cede con User-Agent de Chrome."
