institucion,estado,dominio_real,nombre_real,url_programas,cantidad_aprox,niveles_vistos,nota
Orange International College,ok,,Orange College,https://www.orange.edu.au/courses/,19,vocacional,"CRICOS 03446A, RTO 41315. Los 19 cursos de orange.edu.au son todos VET (construccion, negocios, individual support) mas White Card y study tour; NO hay ELICOS ahi. El ingles vive en un dominio hermano, orangeenglish.edu.au (Orange English College, 6 cursos: General English, EAP, IELTS, study tours). Si el cliente quiere el 'idiomas' de puede_vender hay que extraer tambien ese segundo dominio."
Ozford college,otra_institucion,,Ozford Institute of Higher Education (OIHE),,,,"HALLAZGO: el Ozford College de la ficha CERRO. La VRQA le cancelo el registro escolar y la aprobacion CRICOS por decision del 16-feb-2026 y dejo de operar el 12-mar-2026; con el se fueron el high school (VCE/VCAL) y el Ozford English Language Centre. El dominio ozford.edu.au sigue vivo pero hoy es solo Ozford Institute of Higher Education, un proveedor distinto del mismo grupo, con 14 titulos de educacion superior (MBA, MIT, MPA, Master of Teaching, 4 bachelors, Diploma of Business) y CERO ingles: la ruta /about/authorized-agents/elicos/ da 404. Si se extrae de aqui, la ficha de un instituto de idiomas termina llena de masters. No propongo dominio alternativo porque la institucion de la ficha ya no existe."
PAX Education,dominio_nuevo,pax.edu.au,Pax Institute of Education,https://www.pax.edu.au/our-courses/,9,vocacional,"La ficha no traia dominio. OJO, DOS AVISOS. Primero: paxeducation.com.au responde 200 pero es un lander de parking de GoDaddy (redirige a /lander), no es el colegio. Segundo: el sitio real, pax.edu.au (Pax Institute of Education, Melbourne, RTO 22207, CRICOS 03152D), NO dicta ingles: cero apariciones de English, ELICOS o IELTS en la portada. Sus 9 cursos son cocina comercial, hospitalidad y mecanica automotriz (SIT y AUR). La categoria 'Instituto Idiomas' y puede_vender=[idiomas] estan mal; conviene confirmar con el cliente que 'PAX Education' es este Pax Institute antes de extraer."
Performance education,ok,,Performance Education,https://www.performance.edu.au/our-programs,3,professional_year,"AVISO PARA LA EXTRACCION: el sitio vive y esta actualizado, pero 110.232.143.87 (apex y www) da ECONNREFUSED en 443 desde dos redes distintas (maquina local y la infra de WebFetch), y r.jina.ai cae en challenge de Cloudflare. No es NXDOMAIN ni caida: es bloqueo/geo-fence. Habra que extraer con navegador headless o salida AU. Contenido verificado por buscador: son Professional Year (Accounting PYP y ACS IT), 44-52 semanas con internship de 12 semanas, en Sydney/Melbourne/Adelaide/Brisbane. puede_vender=[pregrado,posgrado] es incorrecto: no otorgan titulos, son programas de empleabilidad post-titulo."
Phoenix Academy,dominio_nuevo,phoenix.edu.au,Phoenix Academy,https://www.phoenix.edu.au/courses,30,idiomas;vocacional;high_school;pathway;teacher_training,"phoenix.wa.edu.au responde pero con 301 permanente a www.phoenix.edu.au; usar el nuevo. 30 cursos en courses-sitemap.xml. puede_vender=[idiomas] se queda corto: ademas de ELICOS hay VET propio (BSB Cert I a Diploma de Business, Leadership, Project Management, TAE40122), preparacion high school, university preparation y formacion docente CELTA/TESOL. Perth."
QIBA - Queensland International Business Academy,ok,,QIBA,https://qiba.edu.au/all-courses/,13,idiomas;vocacional;professional_year,"Sitio propio y vivo. 13 cursos en 4 categorias: ELICOS (General English, EAP, PTE prep), VET BSB/ICT/SIT (Diploma a Advanced Diploma de business, IT, hosteleria, cocina), Professional Year en IT y corporate training. La ficha no trae categoria ni puede_vender: quedan como idiomas + vocacional. Campus Brisbane, Sydney y Canberra segun la ficha."
RMIT University,ok,,,https://www.rmit.edu.au/study-with-us,590,pregrado;posgrado;vocacional;investigacion;pathway,"Conte 590 paginas de programa distintas en sitemap.xml bajo /study-with-us/levels-of-study/ (233 undergraduate, 150 vocational, 123 postgraduate, 65 research, 11 pre-university). puede_vender=[pregrado,posgrado] deja fuera la mitad del catalogo: RMIT es dual-sector y su brazo VET es enorme. El ingles (RMIT English Worldwide) va aparte. Cada programa tiene subpaginas /apply-now y /further-study que la extraccion debe descartar para no contar tres veces el mismo titulo."
SACE,ok,,SACE (South Australian College of English),https://sace.edu.au/,13,idiomas;high_school;pathway;teacher_training,"OJO CON LA HOMONIMIA: sace.edu.au es el colegio de ingles de Adelaide (fundado 1987, NEAS); el 'SACE' famoso, el certificado de secundaria de South Australia, es sace.sa.edu.au y NO es esta ficha. No hay pagina indice de cursos (el menu Courses es solo desplegable): las ~13 fichas de curso se enumeran desde page-sitemap.xml (general-english, english-for-tertiary-studies, english-plus, high-school-bridging, evergreen, IELTS, PTE, CELTA online, pathways, study tours, TOEIC, cram classes, boost your english)."
SAE,ok,,SAE Institute,https://sae.edu.au/courses/,35,pregrado;posgrado;vocacional,"puede_vender=[vocacional] es incorrecto: de los 35 cursos la mayoria son educacion superior (13 Bachelor y Associate Degree, Master of Creative Industries, Master of IT, Graduate Certificate y Graduate Diploma); los 'Diploma' son diplomas de higher education, no VET. Todo es media creativa (animacion, audio, film, games, musica, VFX, diseno, computer science, IT). Campus en Sydney, Melbourne, Brisbane, Byron Bay, Adelaide y Perth."
SAIbT South Australia Institute of Business and Technology,sin_catalogo,,South Australian Institute of Business and Technology (SAIBT),,0,,"HALLAZGO: SAIBT CERRO. saibt.sa.edu.au responde 200 pero es una sola pagina lapida que dice literalmente 'SAIBT is no longer accepting new students' y remite a Navitas y a Eynesbury College (Adelaide); los antiguos alumnos escriben a saibt@navitas.com. Cero cursos publicados. Ademas la ficha tiene mal la ciudad: SAIBT era de Adelaide (pathway a University of South Australia), no de Perth. No pongo eynesbury.edu.au como dominio_real porque es otra institucion, no un rebrand."
