institucion,accion,dominio_real,ruta_catalogo,nombre_real,ciudad_real,fusionar_con,evidencia
INTO Universities,sin_cambio,intostudy.com,/en/study-programs,,"UK, USA, Australia, Dubai, Madrid",,"intostudy.com esta vivo y es el portal del propio proveedor: la ficha nombra a INTO, no a una universidad socia, asi que el dominio es el correcto. /en/study-programs si se renderiza sin JavaScript y lista los ~19 tipos de ruta (International Foundation, International Year One/Two, Pre-Master's, Academic y Pre-sessional English, Foundation y Diploma en Australia, Undergraduate/Postgraduate Direct); el buscador de cursos /en/search se pinta por JavaScript y un fetcher sin navegador vera 0 resultados. Volumen esperado pequeno: son rutas de pathway, no las titulaciones de las universidades. Correccion de sede: /en/where-to-study lista hoy UK, US, Australia, Dubai (USC Dubai) y Madrid; NO hay centro en China (solo el registro ICP del pie de pagina para servir a audiencia china), asi que la ciudad 'UK, USA, China' de la ficha esta desactualizada."
QS,desactivar,,,,,,"admissions.qs.com responde 200 pero es solo la pantalla de login de QS Student Recruitment, una plataforma B2B de admisiones montada sobre Appian (aviso de copyright de Appian en el pie): campos de usuario/clave, SSO y 'enable cookies', cero contenido academico publico. Ademas QS no es una institucion educativa sino un proveedor de rankings y servicios de reclutamiento, y la ficha viene con puede_vender vacio. No hay nada que extraer detras del login."
Study Group,desactivar,,,,,,"studygroup.com es el sitio corporativo B2B del grupo y students.studygroup.com, el sitio estudiantil, no tiene buscador de cursos: describe tipos de ruta (Direct admission a universidades de EE.UU., University pathway programmes, Bellerbys Global) y pinta los logos de ~25 universidades socias enlazando a la pagina de cada International Study Centre (Cardiff ISC, Sheffield USIC, CSU San Marcos, DePaul). Los programas concretos viven en el sitio de cada ISC, varios de los cuales ya son fichas propias del cliente; extraer aqui duplicaria catalogo ajeno. Study Group no es una institucion matriculable y la ficha viene con puede_vender vacio."
UP Education,desactivar,,,,,,"up.education es la web corporativa del holding (se define como 'the leading private tertiary provider in Australia and New Zealand', 64 campus en 16 localidades) y no publica ni un solo curso: dice '270 Courses currently offered' pero /study/tertiary-providers solo enlaza a las 23 marcas del grupo, cada una con dominio propio (nzma.ac.nz, yoobee.ac.nz, ichm.edu.au, endeavour.edu.au, nzschooloftourism.co.nz, ais.ac.nz, cutabove.ac.nz, elitebeautyschool.co.nz...). No hay pagina de cursos ni escuela de ingles en ese listado. El holding no es matriculable; las marcas vocacionales que si lo son tienen ficha y dominio propios."
UniApply,desactivar,,,,,,"uniapply.com se presenta como 'India's Leading School Discovery Platform': es un buscador de colegios K-12 de India operado por Meritto, con miles de colegios (3.813 solo en Bangalore) en 40+ ciudades indias y cero alcance internacional. No coincide con la ficha (International, todos los niveles) y ademas es un agregador que revende el catalogo de terceros: nada de lo que lista es suyo. Hay al menos cinco marcas homonimas (uniapply.co.uk, uniapply.ai, uniapplyglobal.com, uniapply.com.au) y no hay forma de saber cual es la del cliente sin preguntarle, asi que adivinar un dominio seria peor que dar de baja."
Design and Arts College of New Zealand,fusionar,,,,,Yoobee School of Design,"Su dominio historico dac.ac.nz esta en NXDOMAIN (ENOTFOUND desde el resolver local, desde 8.8.8.8 y con WebFetch) y la institucion ya no existe por separado: Wikipedia (Yoobee Colleges) dice que 'In 2019, Yoobee Colleges was created by the merger of South Seas Film and Television School, Animation College, Design and Arts (Canterbury), AMES - The Institute of IT, and the Yoobee School of Design', y los directorios de estudio internacional la listan hoy como 'Yoobee Colleges - Design and Arts College of New Zealand', Cambridge Terrace, Christchurch 8013. Es decir, es el campus de Christchurch de Yoobee y su oferta de diseno es exactamente la de yoobee.ac.nz, sin ruta propia que la distinga. Por eso se fusiona en la ficha Yoobee en vez de apuntarla al mismo dominio: dos fichas sobre la misma raiz se llevarian el catalogo entero dos veces."
Dominion English Schools,desactivar,,,,,,"Cierre definitivo confirmado: la escuela cerro el 16-10-2020 por el cierre de fronteras del COVID (blog de la agencia japonesa Fujiyama International, 'Dominion English School closed on October 16, 2020'; la ficha de KiwiBizInfo aparece marcada como 'closed' y la de world-study.com, que la databa fundada en 1969, tambien; 1News documento el 10-07-2020 que varias escuelas de ingles neozelandesas cerraron de forma permanente por la pandemia). Su dominio dominion.school.nz esta en NXDOMAIN y no figura entre los 15 miembros actuales de English New Zealand. No hay nada que extraer."
South Seas Film & Television,corregir_dominio,yoobee.ac.nz,/courses/film,,Auckland,,"South Seas dejo de ser institucion independiente: Wikipedia (Yoobee Colleges) confirma que en 2019 Yoobee Colleges nacio de la fusion de South Seas Film and Television School, Animation College, Design and Arts (Canterbury), AMES y Yoobee School of Design; hoy 'South Seas Campus' es uno de los cuatro campus que lista yoobee.ac.nz (los otros: Auckland City Road, Wellington, Christchurch). NO se fusiona con la ficha de Yoobee porque tiene catalogo propio distinguible por ruta: /courses/film existe y devuelve exactamente 7 cursos - Diploma in Film and TV Production, Diploma in Film and Content Creation, Diploma in Screen and Stage Acting, Diploma in Drama (Screen Acting), Certificate in Creative Media, Certificate in Foundation Skills (Working with People) y AI for Creative Industries. Anclar en esa ruta: la raiz del sitio tiene ~32 cursos de las seis categorias y si la extraccion trae 30 se llevo el catalogo de todo Yoobee."
The Campbell Institute Limited,desactivar,,,,,,"El sitio no existe: campbell.ac.nz sigue registrado con nameservers de Azure pero no tiene registro A ni en el apex ni en www (ENOTFOUND desde el resolver local, desde 8.8.8.8 y con WebFetch), o sea que no es un 403 ni un WAF, no hay servidor. Y la institucion desaparecio del grupo dueno: el informe EER de NZQA de 2020 (nzqa.govt.nz/bin/providers/download/provider-reports/7480-2020.pdf) dice 'Campbell has delivery sites in Wellington and Auckland and is part of the UP Education Group', pero hoy Campbell NO figura entre los 23 proveedores terciarios que lista up.education/study/tertiary-providers, ni entre los 15 miembros actuales de English New Zealand (donde si estan NZLC, Languages International, LSI Auckland, CCEL). Tampoco hay dominio sucesor: campbell.up.education esta en NXDOMAIN y NZLC, la otra escuela de ingles con campus en Auckland y Wellington, es independiente y no la menciona. Todo lo que queda en linea son fichas de directorios de agencias sin actualizar, en pasado. Se da de baja; si el cliente confirma que sigue operando, es reversible con el dominio nuevo."
UP English School,desactivar,,,,,,"No existe sitio propio ni ruta viva donde extraer: partnerships.up.education/up-english esta en NXDOMAIN, up.education/study/tertiary-providers lista las 23 marcas del grupo y ninguna es una escuela de ingles, y aut.up.education (UP International College New Zealand, 345 Queen St, la sede donde vive la marca) tiene un menu de solo tres programas - Certificate in Foundation Studies, Foundation Connect y Pathways Link - sin ninguna seccion de English. AVISO CRITICO para la extraccion: auckland.up.education SI devuelve 200, pero el subdominio quedo libre y hoy sirve un casino online tailandes ('nova555', con enlaces cruzados a nova888 y nova88); verificado directamente. No usarlo como dominio_real ni extraer nada de ahi - es el caso de libro de un 200 OK que no es la institucion."
