institucion,accion,dominio_real,ruta_catalogo,nombre_real,ciudad_real,fusionar_con,evidencia
Ozford college,desactivar,,,,,,"La institucion de la ficha (el college de idiomas/high school) ya no existe: la VRQA le cancelo el registro escolar y la aprobacion CRICOS el 16-feb-2026 y dejo de operar el 12-mar-2026, y con el se fue el Ozford English Language Centre. Verificado el 10-sep-2026 que ozford.edu.au hoy es solo Ozford Institute of Higher Education: el menu 'Study' unicamente lista postgrado (MBA, MIT, MPA, Master of Teaching, grad diplomas/certificates) y pregrado (Bachelor of Cyber Security, Information Systems, Business, Business Accounting, Diploma of Business), cero ingles y cero VCE; /about/authorized-agents/elicos/ devuelve 404 y en el HTML de la home no queda ni un href con 'elicos', 'english' o 'high-school'. Extraer de aqui llenaria de masters una ficha de Instituto Idiomas con puede_vender=idiomas."
SAIbT South Australia Institute of Business and Technology,desactivar,,,,Adelaide,,"saibt.sa.edu.au responde 200 pero es una sola pagina lapida. Texto literal capturado el 10-sep-2026: 'SAIBT is no longer accepting new students', con enlaces a la web de Navitas y a Eynesbury College para quien quiera estudiar en Adelaide, y 'Former SAIBT students with enquiries can contact us by emailing saibt@navitas.com'. Cero programas publicados: el unico nav del sitio es Home. El schema.org declara la Organization 'South Australian Institute of Business and Technology' (dateModified 2026-06-22), o sea la pagina se mantiene solo como aviso. Ademas la ficha tiene mal la ciudad: SAIBT era el pathway de la University of South Australia en Adelaide, no en Perth. No se reemplaza por eynesbury.edu.au porque Eynesbury es otra institucion, no un rebrand."
IT Step Academy,desactivar,,,,,,"La franquicia bulgara no tiene presencia web viva. itstep.mx (dominio actual) es la franquicia MEXICANA de la red, sede Tijuana, asi que extraer de ahi metria cursos y precios mexicanos bajo una ficha de Bulgaria. El dominio bulgaro esta borrado del registro: consultado el 10-sep-2026 contra el DNS de Google, itstep.bg y www.itstep.bg devuelven Status 3 (NXDOMAIN) con la SOA autoritativa de a.nic.bg, y tampoco tiene registro MX, o sea ni siquiera correo. Y no es que hayan mudado de dominio: el propio hub de la red, itstep.org, sigue enlazando Bulgaria a https://itstep.bg/ (unico href con 'bg' en su home). itstep.org/bg existe pero es solo la version en bulgaro del sitio corporativo global, con el mismo selector de 78 ciudades y sin catalogo propio. Tambien NXDOMAIN: stepit.bg, step-it.bg, sofia.itstep.bg, academy.itstep.bg, itstepacademy.bg."
ALI,desactivar,,,,,,"studymontreal.com esta apagado a proposito, no caido: consultado el 10-sep-2026 contra el DNS de Google devuelve un unico registro A = 127.0.0.1 (localhost) con NS de Cloudflare, y la consulta MX no devuelve ningun servidor de correo. Ni 80 ni 443 conectan, con www y sin www. Busque reemplazo y no hay: alicanada.com responde 200 pero es un parking, no la escuela (el HTML entero son 116 bytes con un window.location.href='/lander', MX nulo '0 .' segun RFC 7505, y A en 76.223.54.146 / 13.248.169.48, IPs de parking de AWS). No resuelven ali-canada.com, alimontreal.com, ali-montreal.com, ali.qc.ca, studymontreal.ca ni aliedu.ca. Sin sitio no hay nada que extraer; si el cliente confirma que Academie Linguistique Internationale sigue operando en Montreal, que aporte el dominio y se reactiva."
Ascent College of technology,corregir_dominio,hermescolleges.ca,/portfolio/ascent-college/,,,,"La institucion vive pero su sitio propio no. ascentcollege.ca resuelve (45.114.246.50) y conserva correo corporativo (MX = ascentcollege-ca.mail.protection.outlook.com, Microsoft 365), pero el HTTPS tiene el certificado caducado y hace 301 a HTTP, y el HTTP sirve la pagina por defecto de cPanel: el cuerpo entero es un meta refresh a /cgi-sys/defaultwebpage.cgi. Es una cuenta de hosting sin sitio, no un dominio muerto. Su catalogo vivo esta en la red que lo opera: hermescolleges.ca/portfolio/ascent-college/ responde 200, lo identifica como 'College de technologie Ascent Inc.', da info@ascentcollege.ca y +1 514 934 4777, y bajo 'All Programs' lista sus dos AEC: Artificial Intelligence and Machine Learning y Network Security and Ethical Cyber Piracy. Por eso se apunta a la ruta del miembro y no a la raiz del portal, que se llevaria los 6 colleges de la red. Dos cosas que no corrijo pero anoto: la ficha lo marca 'College Publico' y es un colegio de carrera PRIVADO, y la direccion que publica la red es Montreal (300-320 Cremazie East), no Laval."
George Brown College,sin_cambio,,,,Toronto,,"No esta muerto: georgebrown.ca resuelve (198.96.86.176) y el college opera. Lo que hay es bloqueo de bots tipo WAF/Akamai: verificado el 10-sep-2026 que devuelve 403 con la pagina 'Access Denied ... Reference #' a TODO, con y sin www, y da el mismo 403 en la raiz, en /programs/ y en una ruta inexistente, incluso con user-agent de Chrome. Que responda igual a una URL que no existe confirma que el bloqueo es previo al enrutado, no un 404 disfrazado. Aviso para la extraccion: aqui hace falta navegador real (headless con JS y cookies); un fetcher plano no va a poder y no debe interpretarse como sitio caido. La ciudad de la ficha venia mal escrita ('Totonto')."
Georgian College,corregir_dominio,georgiancollege.ca,/academics/programs/,,Barrie,,"georgiancollege.ca es suyo y responde 200, pero hay que fijar la ruta porque comparte host con la ficha 'Georgian English' de este mismo lote y son dos cosas distintas que se venden distinto. El catalogo del college esta en /academics/programs/ (200, y el listado se pinta en el HTML: verificado el 10-sep-2026 contando 62 etiquetas 'Ontario College Diploma', 25 'Graduate Certificate' y 12 'Degree', mas la cifra de 130+ programas full-time que declara el sitio). Ojo: /programs/ y /programs/program-finder/ dan 404, la ruta buena es /academics/programs/. No se fusiona con Georgian English: ese es su centro de idiomas, con puede_vender solo idiomas, y meterle estos 130 programas le cambiaria el catalogo entero. Ciudad: campus principal Barrie, mas Barrie downtown, Midland, Orangeville y Owen Sound; la ficha traia 'Ontario', que es la provincia."
Georgian English,corregir_dominio,georgiancollege.ca,/academics/english-language-studies/,,,,"Es el centro de idiomas de Georgian College, no una institucion aparte, y por eso comparte host con la ficha 'Georgian College' de este mismo lote. No se fusiona: esta ficha solo puede vender idiomas y fusionarla se llevaria los 130+ programas del college a un ficha de ESL. Se acota por ruta: georgiancollege.ca/academics/english-language-studies/ responde 200 y ahi vive lo suyo, verificado el 10-sep-2026 (EAP descrito como programa intensivo de ocho niveles, mas ESLG por niveles y EAPC). La ruta es la unica cosa que distingue las dos fichas; si no se guarda, la proxima auditoria las vuelve a marcar duplicadas y la extraccion se lleva el sitio entero a las dos."
Hermes Colleges,desactivar,,,,,,"No es una institucion educativa sino la sociedad gestora de una red de colleges privados de Montreal, y su sitio es un portal B2B para agentes: verificado el 10-sep-2026 que hermescolleges.ca vende 'Inscription des agents HCN', 'Partenaires avec nous', pago de comisiones de agencia en 15 dias y modelos de reparto de utilidades, y se describe como 'reseau d'institutions educatives'. No otorga titulos ni matricula estudiantes; quienes lo hacen son sus 6 miembros, cada uno con su propia pagina /portfolio/: Matrix, Aviron Quebec, Academy of Learning, Ascent, Cegep Marie-Victorin y Veritas College of Technology. Extraer esta ficha duplicaria el catalogo de esos 6 bajo un nombre que no es el de ninguno. De hecho en este mismo lote la ficha 'Ascent College of technology' se apunta a /portfolio/ascent-college/, que es donde estan sus dos AEC. Anoto sin corregir que la ficha lo clasifica 'College Publico' y la red es privada."
High Schol Coquitlam SD 43,corregir_dominio,internationaled.com,,High School Coquitlam SD 43,Coquitlam,,"coquitlamcollege.com es OTRA entidad: verificado el 10-sep-2026 que es Coquitlam College, 'High Quality Private Education', con University Transfer Program, Associate of Arts Degree y English Studies Program. La ficha nombra el School District 43 y solo tiene autorizado high_school, asi que su sitio es el del programa internacional del distrito. El propio sd43.bc.ca enlaza su 'International Education' a internationaled.com, y ese sitio responde 200 titulandose 'Home - Coquitlam School District 43', con correo internationaled@sd43.bc.ca, telefono +1 604 936 5769, '32000 Students in 70 Schools', y el catalogo que le sirve a la ficha: Elementary/Middle/Secondary Schools mas Programs (Academic Year, Summer Program, Teacher Training). Ciudad: el distrito es Coquitlam (con Port Coquitlam, Port Moody, Anmore y Belcarra), no Vancouver. Nombre: se arregla la errata 'Schol'. Anoto sin corregir que la categoria dice 'College Privado' y SD43 es un distrito escolar publico."
