institucion,accion,dominio_real,ruta_catalogo,nombre_real,ciudad_real,fusionar_con,evidencia
Florida International University,fusionar,fiu.edu,,,"Miami, FL",FIU - Florida International University,"Misma institucion escrita dos veces: fiu.edu resuelve a www.fiu.edu (200) y catalog.fiu.edu titula 'Florida International University Catalog'; ambas fichas son la universidad publica de Miami, FL, no una universidad y su pathway. Sobrevive 'FIU - Florida International University' por dos razones verificables: su ficha si trae pais=USA y ciudad, esta no trae ninguno de los dos, y el catalogo del cliente ya usa el patron 'SIGLA - Nombre' en otras fichas (ej. 'FAU - Florida Atlantic University'). Contradiccion que no corrijo: la ficha superviviente dice puede_vender=[posgrado] y esta dice [pregrado, posgrado]; el catalogo publica ambos niveles, revisar con el cliente al fusionar. Para la extraccion: el buscador de fiu.edu enlaza a subdominios de facultad (business.fiu.edu, cec.fiu.edu), el catalogo formal unico es catalog.fiu.edu."
Acacia Institute,sin_cambio,,,,,,"No esta muerto: es bloqueo de red, no cierre. El DNS resuelve limpio contra 8.8.8.8 (acacia.edu.au A 43.250.140.24) pero curl con user-agent de Chrome agota los 20s sin abrir conexion en 443 ni en 80, apex y www. Mismo rango 43.250.14x.x que menzies.vic.edu.au (43.250.142.33), que da identico patron: es el hosting el que filtra por geografia. El sitio esta vivo y con contenido reciente indexado: acacia.edu.au/about-acacia/ se describe como RTO y proveedor CRICOS con cualificaciones en Business and Management, Commercial Cookery, Hairdressing, Hospitality y Civil Construction. El dominio de la ficha es correcto; la extraccion tiene que salir por IP australiana o navegador real, y NO debe descartar la ficha por timeout."
Canberra Institute of Technology CIT,sin_cambio,,/courses,,,,"El 403 es parcial y enganoso: cit.edu.au apex devuelve status 403 pero el cuerpo son 5.5 KB del HTML REAL de la home (titulo 'Home : Canberra Institute of Technology', hojas de estilo de Squiz Matrix en /__data/assets/), y https://cit.edu.au/courses devuelve 200 limpio con 48 KB y titulo 'Courses : Canberra Institute of Technology' con el mismo user-agent de Chrome. Es un WAF que responde distinto por ruta, no un cierre ni un cambio de dominio. La extraccion debe entrar por /courses y no abortar por el codigo de estado del apex."
Gamma College,sin_cambio,,,,,,"No esta muerto: bloqueo de red. gamma.edu.au resuelve contra 8.8.8.8 (103.42.110.7 y 2400:b800:3:1::7) pero curl con user-agent de Chrome agota los 20s en 443 sin completar el handshake, apex y www. El registro IPv6 2400:b800:3:1::7 es del mismo bloque que menzies.vic.edu.au (2400:b800:3:1::39), otra ficha australiana con el mismo sintoma: filtrado geografico del hosting, no cierre. Gamma Education & Training, RTO 41477 y CRICOS 03580F, campus Sydney/Brisbane/Melbourne. Extraer por IP australiana. Contradiccion que no corrijo: puede_vender=[todos] frente a un RTO que solo entrega VET."
IELI - Intensive English Language Institute,corregir_dominio,flinders.edu.au,/international/academy/courses/english,Flinders University Academy,,,"Cambio de marca, no cierre de la escuela. ieli.sa.edu.au da NXDOMAIN contra 8.8.8.8 en apex y en www (dominio inexistente, no timeout ni WAF). La oferta vive hoy en Flinders: https://www.flinders.edu.au/international/academy responde 200 y titula 'Flinders University Academy', con /international/academy/courses (200) y seis rutas de curso, entre ellas /courses/english = 'English for Academic Purposes'. La marca IELI ya no aparece ni una vez en el HTML del Academy. Corrijo tambien el nombre porque 'IELI' nombra una entidad extinta. La ruta es obligatoria: el catalogo maestro ya tiene una ficha 'Flinders University' sobre el mismo host, y sin ella la extraccion le cargaria a este centro de idiomas la universidad entera. La ciudad Adelaide sigue siendo correcta (campus Bedford Park/Sturt)."
International House Sydney,desactivar,,,,,,"Institucion cerrada y dominio revendido. El aviso TPS del Department of Education (education.gov.au/tps/notices/ih-sydney-training-services-pty-ltd) dice que IH Sydney Training Services Pty Ltd [CRICOS 02623G] entro en administracion voluntaria el 2-dic-2024, ceso operaciones el 9-dic-2024 y fue puesta en liquidacion el 7-ene-2025, con PKF Melbourne como liquidador y Greenwich College recibiendo a los estudiantes de sus siete escuelas (Sydney, Bondi, Darwin, Melbourne, Gold Coast, Byron Bay, Adelaide). El 200 de ihsydney.com.au es un parking: 1.064 bytes con FingerprintJS y redirect a un enlace con tr_uuid y fp, servido desde 103.224.182.246 (Above.com/Trellian). No hay dominio sucesor al que mover la ficha."
La Trobe University,sin_cambio,latrobe.edu.au,/courses,,,,"El host raiz le corresponde a esta ficha: https://www.latrobe.edu.au/ responde 200 (110 KB) y https://www.latrobe.edu.au/courses da 200 con titulo 'Courses and degrees at La Trobe University'. Es la universidad de Melbourne (sede Bundoora), no un pathway. Anoto la ruta /courses porque el host lo comparte con la ficha 'La Trobe University Sydney', que vive en /sydney: sin las dos rutas la extraccion le carga el catalogo entero a las dos. NO fusionar con La Trobe College ni con La Trobe College Australia (latrobecollegeaustralia.edu.au), que son el pathway de Navitas y entidad distinta. Contradiccion que no corrijo: puede_vender incluye idiomas y los cursos de ingles no los dicta la universidad sino La Trobe College Australia (CRICOS 03312D)."
La Trobe University Sydney,corregir_dominio,latrobe.edu.au,/sydney,,,,"Campus, no duplicado: https://www.latrobe.edu.au/sydney responde 200 con titulo 'Sydney Campus, La Trobe University'. No hay dominio ni subdominio propio (sydney.latrobe.edu.au y latrobesydney.edu.au no resuelven), asi que la unica forma de separarla de la ficha 'La Trobe University' es la ruta /sydney. Esa ruta ya figura como sitio de otra entrada del catalogo maestro ('La Trobe University Sydney Campus', sitio www.latrobe.edu.au/sydney), lo que confirma la convencion. NO fusionar con la ficha de Melbourne: son sedes con oferta distinta. Aviso para la extraccion: la pagina no enumera cursos en HTML, monta un buscador Funnelback por JS con scope de campus y hay que llamar esa busqueda filtrada. Solapamiento a vigilar, que no resuelvo aqui: los Diploma y Pathway del campus los dicta La Trobe College Australia, que tiene ficha propia."
Melbourne College of Hair & Beauty,corregir_dominio,mcohb.edu.au,,Melbourne College of Hairdressing & Beauty,Melbourne,,"La ficha venia sin dominio y sin ciudad. mcohb.edu.au responde 200 (159 KB) y es la escuela: el pie de pagina declara 'CRICOS Provider No.: 02886G' y el nombre que ella misma usa es 'Melbourne College of Hairdressing & Beauty', no 'Hair & Beauty'; campus en The District Docklands, Melbourne VIC. Es escuela real, por eso no la desactivo, pero NO publica catalogo: /courses/ devuelve 200 con 129 KB, cero enlaces a curso y cero menciones de 'Certificate' o 'Diploma', y no es contenido oculto por JS: el sitemap completo (sitemap-1.xml) tiene 13 URLs -home, about, enrol, courses, forms-policies, contact, salon, domestic, international, living-and-studying, agents, school-calendar y un post 'hello-world'- y ninguna es de curso. La extraccion no va a sacar programas de aqui: hay que pedirle el listado al cliente o a la escuela. Contradiccion que no corrijo: puede_vender=[todos] para un RTO que solo entrega VET de peluqueria y estetica."
Menzies Institute of Technology,sin_cambio,,,,,,"No esta muerta: bloqueo de red mas registro vigente. El DNS resuelve contra 8.8.8.8 (menzies.vic.edu.au A 43.250.142.33 y AAAA 2400:b800:3:1::39) pero curl con user-agent de Chrome agota los 20s sin abrir conexion en 443; el mismo hosting da identico patron con acacia.edu.au (43.250.140.24) y gamma.edu.au (2400:b800:3:1::7), o sea filtrado geografico y no cierre. El registro CRICOS la mantiene activa: los directorios que espejan el CRICOS register (consultas de abril y agosto de 2026) listan a Menzies Institute of Technology Pty Ltd, CRICOS 02815M, West Melbourne VIC, con 17-18 cursos no expirados. El dominio es correcto; extraer por IP australiana o navegador real y no descartar la ficha por timeout."
