institucion,accion,dominio_real,ruta_catalogo,nombre_real,ciudad_real,fusionar_con,evidencia
Tamwood Career,corregir_dominio,tamwood.com,/study-work/,,Vancouver,,"tamwood.com se presenta como Tamwood International College (grupo ILAC) y separa su oferta en tres rutas: /study-work/ (programas de carrera: International Business & Management, Digital Marketing, Web Developer, Hospitality & Tourism), /esl/ (idiomas) y /camps/ (juniors). Esta ficha es la linea de carreras y se ancla en /study-work/. NO se fusiona con 'Tamwood Language Centres': son lineas con contrato distinto (vocacional vs idiomas) y fusionarlas cargaria el catalogo de carreras a una ficha que solo puede vender idiomas. Los programas de carrera se dictan en Vancouver."
Tamwood Language Centres,corregir_dominio,tamwood.com,/esl/,,"Toronto, Vancouver",,"Mismo host que 'Tamwood Career' pero ruta distinta: el area de idiomas cuelga de /esl/ y los programas juveniles de /camps/. La home solo reivindica campus en Toronto y Vancouver ('campuses in Toronto and Vancouver'): Whistler ya no figura y se quita de la ciudad. Aviso a la extraccion: /esl/ es una pagina delgada que enlaza a ilac.com para verano, el volumen real catalogado esta en /camps/. No fusionar con la ficha de carreras: comparten dueno, no catalogo."
YMCA,desactivar,,,,,,"La escuela cerro. ymcalanguages.com hoy redirige 301 a www.ymcaquebec.org/en/ymca-international-language-school, pagina titulada 'Closing of the YMCA International Language School' que dice textualmente: 'we have made the difficult decision to close the YMCA International Language School as of December 19, 2025', por deficit acumulado tras 60 anos. ymca.ca es ademas la federacion nacional YMCA Canada, no la escuela de Montreal: no hay dominio ni catalogo que extraer."
iMandarin,sin_cambio,imandarin.net,,,,,"NO esta muerto: es geobloqueo, no cierre. www.imandarin.net responde HTTP 200 pero sirve siempre la misma pagina de 2144 bytes titulada '拒绝访问' con el texto '禁止国外IP访问 ... 如果您是国内用户,请使用国内IP访问' (prohibido el acceso desde IP extranjera). /en/ devuelve la misma pagina. El apex ademas falla el chequeo de certificado (SEC_E_WRONG_PRINCIPAL). La institucion opera; la extraccion requiere salida por IP china o proxy en China, sin eso no hay catalogo posible."
Institut Europeen de Francais,fusionar,lsf-france.com,,,,LSF/IEF,"Es la misma entidad que la ficha 'LSF/IEF'. institut-europeen.es es NXDOMAIN (apex y www, verificado por DNS) y el sitio vivo lsf-france.com opera como 'KLF Montpellier (LSF)' en 6 rue Foch, 34000 Montpellier, con la documentacion oficial nombrada 'KLF-2023-LSF-IEF-INTERNAL-RULES.pdf' y 'KLF-2023-LSF-IEF-CLAIM-FORM.pdf', es decir LSF e IEF bajo un mismo reglamento tras la fusion. Sobrevive 'LSF/IEF' por conservar las dos marcas y coincidir con el sitio; extraer las dos fichas duplicaria el mismo catalogo."
LSF/IEF,sin_cambio,lsf-france.com,,,,,"El dominio es correcto y esta vivo: lsf-france.com (Cloudflare, 200) es la escuela de frances de Montpellier, 6 rue Foch, label Qualite FLE, ~3.000 estudiantes de 80 paises, con cursos estandar, intensivos, pathway universitario, preparacion TCF/TEF, Bildungsurlaub, juniors y formacion de profesores Erasmus+. Es la ficha que sobrevive a la fusion con 'Institut Europeen de Francais'. Aviso de datos: el sitio se firma hoy como 'KLF Montpellier (LSF)' del grupo Keep Learning French; no cambio el nombre porque la ficha ya recoge las dos marcas comerciales vigentes."
SAE Institute GmbH,corregir_dominio,sae.edu,/deu/,,,,"sae.edu es el dominio global del grupo y hay que anclar en la ruta de pais o se extraen cursos de otros mercados: https://www.sae.edu/deu/ responde 200 (521 KB) y lista exactamente los 10 campus de la ficha (Berlin, Bochum, Frankfurt, Hamburg, Hannover, Koln, Leipzig, Munchen, Nurnberg, Stuttgart) con Diploma, Bachelor y Master en Audio, Film, Game, Software, Animation/VFX y Content Creation. Las rutas hermanas existen y separan a las otras fichas del dominio compartido: /nld/ (SAE Netherlands B.V.) y /che/ (SAE Institute Switzerland AG) devuelven 200 con sus propios catalogos, asi que no son duplicados. Aviso de datos: los bachelor los titula y valida la University of Hertfordshire (los anteriores a enero-2022, Middlesex University); no toco puede_vender."
LOKMANI LAW SCHOOL,corregir_dominio,lokmani.com,/courses/law-programme/,,,,"No tiene sitio propio, pero su catalogo si esta publicado dentro del sitio del degree college del mismo campus: https://lokmani.com/courses/law-programme/ responde 200 y es una pagina titulada 'Law Programme | Lokmani Memorial Degree College' que describe el L.L.B. (3 anos) y el B.A.-LL.B. Se ancla ahi y no en la raiz para no llevarse los 24 pregrados y 12 posgrados de la ficha hermana. No se fusiona con 'LOKMANI POSTGRADUATE SCHOOL': el Lokmani Law College (fundado 2014, aprobado por el Bar Council) es una entidad distinta del degree college (fundado 2008), aunque compartan campus y sitio."
LOKMANI POSTGRADUATE SCHOOL,corregir_dominio,lokmani.com,/courses/,Lokmani Memorial Degree College,,,"El dominio compartido es de esta ficha: lokmani.com se firma en cada pagina como 'Lokmani Memorial Degree College', afiliado a M.J.P. Rohilkhand University, tel +91-1344-250444 (prefijo 1344 = Bijnor, coherente con Seohara; 'Bareilly' en el sitio es la sede de la universidad afiliadora, no del campus, por eso no corrijo la ciudad). No existe un 'Postgraduate School' independiente, de ahi el nombre_real. Se ancla en /courses/ (200 OK) porque la ficha puede vender pregrado y posgrado y ambos cuelgan de ahi: /courses/undergraduate-programmes/, /courses/postgraduate-programmes/ (M.A. Home Science, M.Sc., M.Com...) y /courses/diploma-programmes/. La extraccion debe EXCLUIR /courses/law-programme/, que es la ficha 'LOKMANI LAW SCHOOL'."
CATS Colleges,corregir_dominio,catscambridge.com,/curriculum/,,Cambridge,,"catsglobalschools.com (el dominio que propuso el auditor) responde 200 pero es el sitio del grupo tras el rebrand a CATS Global Schools: lista 13 colegios y cero programas, no sirve para extraer. El catalogo vive en cada colegio, y el unico campus CATS de la ficha que publica curriculo verificable es CATS Cambridge: https://www.catscambridge.com/curriculum/ responde 200 con GCSE, Pre-A Level, A Levels, UFP, UK High School Term y Summer. Dos correcciones de alcance que van en evidencia y no en el dominio: la sede de Boston es otra entidad con sitio propio (catsacademyboston.com, 200, catalogo en /academics/: High School Diploma, Postgraduate Program, CATS Extra) y merece ficha aparte; y Londres ya NO es CATS, es Guildhouse School (Canterbury es hoy The Worthgate School), por eso la ciudad se reduce a Cambridge."
