institucion,accion,dominio_real,ruta_catalogo,nombre_real,ciudad_real,fusionar_con,evidencia
SAE Netherlands B.V.,corregir_dominio,sae.edu,/nld/,,,,"Verificado el 10-sep-2026: la ficha no tenia dominio y el campus holandes no tiene uno propio. https://www.sae.edu/nld/ responde 200 (redirige a www) con lang=""en-GB"" y schema.org WebSite name=""SAE Institute"" url=https://www.sae.edu/nld/. El subsitio holandes es todo suyo: /nld/campuses/amsterdam/ y /nld/campuses/online/ son los unicos campus, y el catalogo cuelga de /nld/courses/ (filtros ?studyarea[]=Audio, Film, Animation) mas paginas de programa colgadas directo de /nld/ (audio-production-studies-and-courses, electronic-music-production-certificate, dj-certificate). Por eso se ancla en /nld/ y no en /nld/courses/: anclar en courses dejaria fuera esas paginas. La ruta es obligatoria porque sae.edu es el sitio global y lo comparten SAE Institute GmbH (/deu/) y SAE Institute Switzerland AG (/che/ y /ch-ge/): sin ruta, las tres fichas se llevarian el catalogo entero de SAE. Confirmado en /nld/courses/ que los bachelors los valida la University of Hertfordshire, no SAE: dato de venta, no de dominio."
SAE Institute Switzerland AG,corregir_dominio,sae.edu,/che/,,,,"CORRIJO AL AUDITOR EN UN PUNTO IMPORTANTE: dijo que la sede suiza vive solo en /che/, y son DOS rutas. Verificado el 10-sep-2026: https://www.sae.edu/che/ responde 200 en lang=""de-DE"" y su unico campus es /che/campuses/zuerich/ (schema.org con Buckhauserstrasse 24, 8048). Ginebra NO esta ahi: el megamenu de /che/ enlaza <a href=""https://geneva.sae.edu/"">Genf</a>, y ese host redirige 200 a https://www.sae.edu/ch-ge/ (title ""Home - SAE Institute Geneve"", en frances) con su propio catalogo en /ch-ge/courses/ (audio-production-bachelor-programme, film-production, games-programming, web-development, mas una docena de formations courtes). O sea: la ficha cubre dos campus con dos rutas distintas; anclada solo en /che/ se pierde todo Ginebra. Se deja /che/ como ancla y la extraccion DEBE anadir /ch-ge/ (alias geneva.sae.edu). Ojo tambien: en /che/ los bachelors cuelgan de /che/*-ausbildung-studium/ y no de /che/courses/, que solo tiene cursos cortos. Los titulos los valida University of Hertfordshire, confirmado en /che/audio-engineering-ausbildung-studium/."
University of Hertfordshire - UH,corregir_dominio,herts.ac.uk,/international/global-study-opportunities/transnational-education-partnerships/success-point-college,,,,"El auditor no propuso dominio; si hay uno defendible. Verificado el 10-sep-2026 que la ruta que el mismo cito existe y esta viva: herts.ac.uk da 403 a fetch pelado y 200 con User-Agent de Chrome (173 KB), la pagina se titula ""Success Point College | International | Uni of Herts"", su metadata dice currentStatus Live, lastPublished 03 Dec 2025, y el texto literal es ""Success Point College (SPC) In Sharjah, UAE, offers the opportunity to study University of Hertfordshire degrees"". Bajo el encabezado ""University of Hertfordshire courses available at Success Point College"" lista exactamente los 13 programas que se venden en Sharjah: BA (Hons) Advertising and Digital Marketing, Event Management and Tourism, International Business, Business Management, Accounting and Finance, los dos Top-up, MSc International Tourism Hospitality and Event Management y cinco MBA (general, HR, Digital Marketing, Healthcare, Project Management). Esa pagina ES el catalogo de la ficha: nombra a la University of Hertfordshire (igual que la ficha), esta en Sharjah (igual que la ficha) y son 13 programas, no los ~500 de Hatfield. Por eso se ancla ahi y NO en la raiz de herts.ac.uk, que ademas ya la usan otras fichas del cliente (HIC - University of Hertfordshire, en el subdominio hic.herts.ac.uk). NO se pone el sitio de SPC (successpointuae.com, 200, ""Sharjah, UAE"", y el alias successpoint.college que da 503) porque ese sitio no se nombra University of Hertfordshire y mezcla su propia oferta de diplomas nivel 3; ademas seria cambiarle la entidad a la ficha."
ABC School of English,desactivar,,,,,,"Confirmada la nota del auditor con resolucion propia el 10-sep-2026 contra 8.8.8.8: abcschool.co.uk y www.abcschool.co.uk son NXDOMAIN (cero registros A), y tambien lo son abcschoolofenglish.co.uk, abcschoolofenglish.com, abcschoolofenglish.uk, abc-school.co.uk y abcschool.london. No es WAF ni geobloqueo: sin registro DNS no hay servidor al que bloquear. AVISO EXPLICITO: esto es ausencia de rastro, no prueba positiva de cierre — no encontre aviso de un regulador ni disolucion registral que confirme que la escuela de 63 Neal Street (Covent Garden, abierta en 2002) haya cerrado; los listados de English UK y British Council que la mantienen viva apuntan al mismo dominio caido. Decision REVERSIBLE: si el cliente aporta un dominio o un contacto vigente, se reactiva con corregir_dominio. Mientras tanto no hay ningun sitio del que extraer catalogo."
Avila University,desactivar,,,,,,"Ficha sin dominio, sin ciudad utilizable y sin categoria. Verificado el 10-sep-2026 contra 8.8.8.8: avilauniversity.ac.uk y avila.ac.uk son NXDOMAIN — no existe una ""Avila University"" britanica. Los dos unicos titulares reales del nombre estan fuera del Reino Unido: avila.edu (A 66.135.3.82), que es Avila University de Kansas City, Missouri (11901 Wornall Road, Kansas City, MO 64145, 60+ programas en /academics/), y ucavila.es, la Universidad Catolica de Avila en Espana. Comprobado ademas en la home de avila.edu que la de Missouri no declara campus, centro ni programa de study abroad en Londres ni en el Reino Unido, asi que el pais/ciudad de la ficha no se explica por una sede britanica. AVISO EXPLICITO: desactivo por ausencia de rastro, no por prueba positiva de cierre. REVERSIBLE y con la salida ya preparada: si el cliente confirma que se referia a la de Missouri, la correccion es corregir_dominio a avila.edu con ruta /academics/ y ciudad_real ""Kansas City, MO"" (y corregir el pais, que no es columna de este CSV). No adivino porque el salto de pais es demasiado grande para asumirlo."
BBSI - Bournemouth Business School International,desactivar,,,,,,"Prueba positiva de cierre en el registro oficial, verificada el 10-sep-2026 en Companies House (find-and-update.company-information.service.gov.uk/company/02692399): BOURNEMOUTH BUSINESS SCHOOL INTERNATIONAL LIMITED, numero 02692399, Company status ""Dissolved"", ""Dissolved on 30 May 2017"", constituida el 2 de marzo de 1992, domicilio Suite 8 Bourne Gate, 25 Bourne Valley Road, Poole, Dorset BH12 1DY, SIC 85590 (Other education not elsewhere classified) y ultimas cuentas al 30 de septiembre de 2014 con las siguientes vencidas. Es la entidad correcta: sus nombres anteriores fueron BOURNEMOUTH BUSINESS SCHOOL LTD. Confirmado ademas que bbsi.co.uk no es la escuela: responde 200 (31,8 KB) con <title>bbsi.co.uk</title>, meta robots noindex y la descripcion ""Este dominio podria estar en venta"" — es un parking, y resuelve a 104.247.81.99, la misma IP de parking que mls-college.co.uk y hampstead-english.com de este mismo lote. No hay nada que extraer."
"City St Georges, University of London",sin_cambio,citystgeorges.ac.uk,/prospective-students/courses,"City St George's, University of London",,,"Ficha superviviente de la fusion con 'City, University of London'. Verificado el 10-sep-2026: www.city.ac.uk devuelve 301 a https://www.citystgeorges.ac.uk/ - es la fusion de 2024 con St George's, no una caida, asi que el dominio de la ficha es correcto y no se toca. MATIZO AL AUDITOR: hablo de /study, y esa ruta ya no es el catalogo - /study y /study/courses redirigen a /prospective-students y /prospective-students/courses. El catalogo unico esta en /prospective-students/courses, cuyo titulo es literalmente 'All Degree, Foundation & Short Courses - City St George's, University of London'; ahi se ancla. AVISO DE EXTRACCION (confirmado dos veces): el sitio da 403 a curl pelado y 200 con User-Agent de Chrome; hay que mandar UA de navegador o la ficha parecera muerta. CONTRADICCION QUE NO CORRIJO (no toco puede_vender): la ficha autoriza 'idiomas', pero en el sitio no hay instituto de ingles general - solo el Centre for Language Studies (/about/schools/communication-creativity/the-centre-for-language-studies) y short courses de lenguas en /prospective-students/apply/how-to-apply/short-courses/languages. Corrijo el nombre al oficial, con apostrofo, tal como lo escribe el propio sitio."
"City, University of London",fusionar,citystgeorges.ac.uk,/prospective-students/courses,,,"City St Georges, University of London","Confirmado que es la MISMA institucion, no una universidad y su pathway: www.city.ac.uk responde 301 a https://www.citystgeorges.ac.uk/ (verificado 10-sep-2026), es decir el propio titular retiro la marca antigua y la redirige a la nueva tras fusionarse con St George's en 2024. Ambas fichas apuntan ya al mismo host y al mismo catalogo (/prospective-students/courses), asi que extraer las dos duplicaria entero el catalogo de la universidad. Sobrevive 'City St Georges, University of London' por dos razones verificables: es el nombre vigente que usa el sitio ('City St George's, University of London' en el titulo de la home de cursos) y su ficha si trae ciudad (Londres) mientras esta la trae vacia. Nota al fusionar: los puede_vender difieren - esta dice pathway+posgrado y la superviviente anade idiomas; no los toco, que los concilie el cliente."
Communicate School,desactivar,,,,,,"Confirmado el 200 enganoso que vio el auditor y ademas identificado el parking: communicateschool.co.uk devuelve 114 bytes con un unico window.onload que salta a /lander, y /lander (verificado 10-sep-2026) es un lander de GoDaddy - window.LANDER_SYSTEM=PW, window._trfd.push({ap:'parking'}) y todos los assets desde img1.wsimg.com/parking-lander/. No es un sitio: es un dominio aparcado. Tampoco hay dominio alterno vivo: communicateschool.com y communicate-school.co.uk son NXDOMAIN contra 8.8.8.8. Y no queda sede que vender en Manchester: malvernhouse.com (el comprador segun el auditor) responde 200 pero su titulo es 'English Courses in London | Malvern House London' y sus 32 enlaces internos son todos de Londres - NCUK Study centre, teacher training, year-round groups, y un student information hub que solo describe transporte y servicios de Londres. OJO, aqui casi me equivoco: la home menciona 'Manchester' 15 veces, pero al mirarlas una a una TODAS son nombres de archivo de imagenes heredadas (ELT-Hero-Banner-Image-Manchester-MHM-..., subidas en 2025/04), no una pagina de campus; no existe enlace ni pagina de campus Manchester. Matiz honesto: el parking prueba que el dominio se abandono, no dispongo de un aviso oficial de cierre de la escuela; si el cliente aporta un contacto vigente en Manchester la decision es REVERSIBLE."
GLOBAL BANKING TRAINING,corregir_dominio,globalbankingtraining.com,,,,,"ME SEPARO DEL AUDITOR: propuso tratarla como duplicado de 'GLOBAL BANKING SCHOOL UK' y descarto globalbankingtraining.com como 'otra empresa'; verificado el 10-sep-2026, esa es justamente la institucion que nombra la ficha y NO debe fusionarse. globalbankingtraining.com responde 200 y su titulo es 'Home | Global Banking Training' - coincidencia exacta con el nombre de la ficha - es de Londres, opera desde 2010 y su pie enlaza a https://gedu.global/, el mismo grupo GEDU al que pertenece Global Banking School. Son dos marcas hermanas del mismo grupo con dominios propios (el caso 'miembros distintos de una red' del protocolo), no un duplicado: GBS UK ya es ficha propia con globalbanking.ac.uk (200, 'Award-Winning UK Higher Education Provider | GBS') y cuatro ciudades, mientras esta ficha es solo Londres. Confirmado tambien que el dominio actual esta muerto: globalbankingschool.com devuelve un autoindex de LiteSpeed ('Index of /', 1,3 KB, solo cgi-bin), no un sitio. DOS AVISOS. (1) Volumen casi nulo: el sitio tiene cinco paginas (/about-us/, /tailored-training/, /valuation-olympiad/, /privacy/, /contact-us/), sitemap.xml y robots.txt vacios y ningun listado de cursos - solo categorias genericas (CFA, Investment Banking, Professional Accountancy, Financial Regulatory) y formacion a medida 'de un dia a un ano'. (2) CONTRADICCION QUE NO CORRIJO (no toco puede_vender): la ficha lo marca 'Universidad' con pregrado y posgrado; el sitio se vende como proveedor de formacion profesional y corporativa a bancos de inversion, y los grados que menciona son del grupo GEDU y sus universidades socias, no titulos propios."
