# Lote 18 · 2026-08-07
institucion | nombre | nivel | area | duracion | codigo_oficial | url_fuente

# --- Douglas College (douglascollege.ca) ---
Douglas College | Behaviour Intervention (Certificate) | curso_corto | Ciencias Sociales | 1 año | - | https://www.douglascollege.ca/program/cnbhvi
Douglas College | Child and Youth Care (Bachelor of Arts) | bachelor | Ciencias Sociales | 4 años | - | https://www.douglascollege.ca/program/bacycc
Douglas College | Child and Youth Care (Diploma) | diplomado | Ciencias Sociales | 2 años | - | https://www.douglascollege.ca/program/dpcycc
Douglas College | Classroom and Community Support - Behaviour Intervention (Diploma) | diplomado | Educación | 4 semestres | - | https://www.douglascollege.ca/program/dpccsif
Douglas College | Community Rehabilitation (Bachelor) | bachelor | Ciencias Sociales | 4 semestres | - | https://www.douglascollege.ca/program/bcr
Douglas College | Diploma in Child and Youth Care | diplomado | Ciencias Sociales | 4 semestres | - | https://www.douglascollege.ca/program/dpcyccab
Douglas College | Disability and Applied Behaviour Analysis (Certificate) | curso_corto | Ciencias Sociales | 1 año | - | https://www.douglascollege.ca/program/atdaba
Douglas College | Early Childhood Education (Certificate) | curso_corto | Educación | 3 semestres | - | https://www.douglascollege.ca/program/ctece
Douglas College | Early Childhood Education (Diploma) | diplomado | Educación | 4 semestres | - | https://www.douglascollege.ca/program/dpeces
Douglas College | Early Childhood Education: Infant/Toddler (Certificate) | curso_corto | Educación | 2 semestres | - | https://www.douglascollege.ca/program/cnecei
Douglas College | Early Childhood Education: Special Needs - Inclusive Practices (Certificate) | curso_corto | Educación | 2 semestres | - | https://www.douglascollege.ca/program/cneces
Douglas College | Education Assistance and Inclusion (Certificate) | curso_corto | Educación | 1 año | - | https://www.douglascollege.ca/program/cteaci
Douglas College | Inclusive Education and Disability Studies (Diploma) | diplomado | Educación | 2 años | - | https://www.douglascollege.ca/program/dpieds
Douglas College | Sign Language Interpretation (Diploma) | diplomado | Ciencias Sociales | 5 semestres | - | https://www.douglascollege.ca/program/dpsli
Douglas College | Social Work (Bachelor) | bachelor | Ciencias Sociales | 4 años | - | https://www.douglascollege.ca/program/bsowk
Douglas College | Therapeutic Recreation (Bachelor) | bachelor | Ciencias Sociales | 4 años | - | https://www.douglascollege.ca/program/btr
Douglas College | Therapeutic Recreation (Diploma) | diplomado | Ciencias Sociales | 2 años | - | https://www.douglascollege.ca/program/dptrt
Douglas College | Youth Justice (Diploma) | diplomado | Derecho | 2 años | - | https://www.douglascollege.ca/program/dpyjw
Douglas College | Accounting (Bachelor of Business Administration) | bachelor | Negocios | 4 años | - | https://www.douglascollege.ca/program/bbaa
Douglas College | Accounting (Certificate) | curso_corto | Negocios | 1 año | - | https://www.douglascollege.ca/program/ctacct
Douglas College | Accounting (Diploma) | diplomado | Negocios | 4 semestres | - | https://www.douglascollege.ca/program/dpacct
Douglas College | Accounting (Post-Baccalaureate Diploma) | posgrado | Negocios | 2 años | - | https://www.douglascollege.ca/program/pbacct
Douglas College | Accounting (Post-Degree Diploma) | posgrado | Negocios | 1 año | - | https://www.douglascollege.ca/program/pdacct
Douglas College | Accounting Studies (Post-Degree Diploma) | posgrado | Negocios | 1 año | - | https://www.douglascollege.ca/program/pdaccs
Douglas College | Accounting and Finance (Post-Baccalaureate Diploma ) | posgrado | Negocios | 2 años | - | https://www.douglascollege.ca/program/pbaccf
Douglas College | Advanced Human Resource Management (Post-Baccalaureate Diploma) | posgrado | Negocios | 2 años | - | https://www.douglascollege.ca/program/pbdhrmgt
Douglas College | Advanced Supply Chain Management (Post-Baccalaureate Diploma) | posgrado | Negocios | 2 años | - | https://www.douglascollege.ca/program/pbdadvscm
Douglas College | Applied Accounting (Certificate) | curso_corto | Negocios | 1 año | - | https://www.douglascollege.ca/program/ctacte
Douglas College | Applied Bookkeeping | curso_corto | Tecnología | 2 semestres | - | https://www.douglascollege.ca/program/ctoadab
Douglas College | Basic Office Skills (Certificate) | curso_corto | Negocios | 2 semestres | - | https://www.douglascollege.ca/program/cnoada
Douglas College | Business Law (Post-Degree Diploma) | posgrado | Derecho | 1 año | - | https://www.douglascollege.ca/program/pdblaw
Douglas College | Certificate in Office Admin | curso_corto | Negocios | 2 semestres | - | https://www.douglascollege.ca/program/ctoadlf
Douglas College | Citation in Office Admin | curso_corto | Negocios | 1 semestre | - | https://www.douglascollege.ca/program/cnoadl
Douglas College | Commerce and Business Administration (Diploma) | diplomado | Negocios | 4 semestres | - | https://www.douglascollege.ca/program/dpcomm
Douglas College | Computer and Information Systems (Post-Baccalaureate Diploma) | posgrado | Tecnología | 2 años | - | https://www.douglascollege.ca/program/pbdcis
Douglas College | Computing Science and Information Systems (Certificate) | curso_corto | Tecnología | 2 semestres | - | https://www.douglascollege.ca/program/ctcsi
Douglas College | Computing Studies and Information Systems (Diploma) | diplomado | Tecnología | 2 años | - | https://www.douglascollege.ca/program/dpcsti
Douglas College | Data Analytics (Post-Degree Diploma) | posgrado | Tecnología | 1 año | - | https://www.douglascollege.ca/program/pddata
Douglas College | Digital Marketing (Post-Baccalaureate Diploma) | posgrado | Negocios | 2 años | - | https://www.douglascollege.ca/program/pbdmark
Douglas College | Diploma in Business Management - New Ventures | diplomado | Negocios | 4 semestres | - | https://www.douglascollege.ca/program/dpmgtn
Douglas College | Economics (Associate Degree) | pregrado | Negocios | 4 semestres | - | https://www.douglascollege.ca/program/aaecon
Douglas College | Emerging Technology (Post-Degree Diploma) | posgrado | Tecnología | 1 año | - | https://www.douglascollege.ca/program/pdemtc
Douglas College | Finance (Post-Baccalaureate Diploma) | posgrado | Negocios | 2 años | - | https://www.douglascollege.ca/program/pbfinc
Douglas College | Financial Analysis (Post-Degree Diploma) | posgrado | Negocios | 1 año | - | https://www.douglascollege.ca/program/pdfian
Douglas College | Financial Planning (Post-Degree Diploma) | posgrado | Negocios | 1 año | - | https://www.douglascollege.ca/program/pdfipl
Douglas College | Financial Services (Bachelor of Business Administration) | bachelor | Negocios | 8 semestres | - | https://www.douglascollege.ca/program/bbafa
Douglas College | Financial Services (Diploma) | diplomado | Negocios | 4 semestres | - | https://www.douglascollege.ca/program/dpfsmt
