# Lote 27 · 2026-08-07
institucion | nombre | nivel | area | duracion | codigo_oficial | url_fuente

# --- The University of Alabama at Birmingham (www.uab.edu) ---
The University of Alabama at Birmingham | Accounting, BS | bachelor | Negocios | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | African American Studies, BA | bachelor | Ciencias Sociales | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Anthropology, BA | bachelor | Ciencias Sociales | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Art, BA | bachelor | Artes | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Art, BFA | bachelor | Artes | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Bioinformatics, BS | bachelor | Tecnología | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Biology, BS | bachelor | Ciencias de la Salud | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Biomedical Engineering, BSBME | bachelor | Ingeniería | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Biomedical Sciences, BS | bachelor | Ciencias de la Salud | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Cancer Biology, BS | bachelor | Ciencias de la Salud | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Chemistry, BS | bachelor | Ciencias | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Civil Engineering, BSCE | bachelor | Ingeniería | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Communication Studies, BA | bachelor | Comunicación | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Community Health and Human Services, BS | bachelor | Salud Pública | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Computer Science, BA | bachelor | Tecnología | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Computer Science, BS | bachelor | Tecnología | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Criminal Justice, BS | bachelor | Ciencias Sociales | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Digital Forensics, BS | bachelor | Tecnología | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Disability Studies and Rehabilitation Science, BS | bachelor | Salud | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Distribution, BS | bachelor | Negocios | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Early Childhood Education, BS | bachelor | Educación | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Economics, BS | bachelor | Negocios | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Electrical and Computer Engineering, BSECE | bachelor | Ingeniería | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Elementary Education, BS | bachelor | Educación | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Engineering Design, BSE | bachelor | Ingeniería | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | English, BA | bachelor | Humanidades | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Entrepreneurship, BS | bachelor | Negocios | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Finance, BS | bachelor | Negocios | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | General Studies, BGS | bachelor | Humanidades | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Genetics and Genomic Sciences, BS | bachelor | Ciencias de la Salud | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Health Care Management, BS | bachelor | Salud | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | History, BA | bachelor | Ciencias Sociales | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Human Resource Management, BS | bachelor | Negocios | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Human Rights, BA | bachelor | Ciencias Sociales | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Immunology, BS | bachelor | Ciencias de la Salud | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Information Systems, BS | bachelor | Tecnología | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | International Studies, BA | bachelor | Ciencias Sociales | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Kinesiology, BS | bachelor | Salud | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Management, BS | bachelor | Negocios | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Marketing, BS | bachelor | Negocios | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Materials Engineering, BSMtE | bachelor | Ingeniería | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Mathematics, BS | bachelor | Matemáticas | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Mechanical Engineering, BSME | bachelor | Ingeniería | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Medical Laboratory Science, BS | bachelor | Medicina | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Medical Sociology, BS | bachelor | Ciencias Sociales | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Music, BA | bachelor | Artes | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Musical Theatre, BFA | bachelor | Artes | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Neuroscience, BS | bachelor | Ciencias de la Salud | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Nursing, BSN | bachelor | Enfermería | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Nutrition Sciences, BS | bachelor | Nutrición | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Philosophy, BA | bachelor | Ciencias Sociales | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Physics, BS | bachelor | Ciencias | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Political Science, BA | bachelor | Ciencias Sociales | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Psychology, BS | bachelor | Psicología | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Public Health, BS | bachelor | Salud Pública | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Secondary Education, BS | bachelor | Educación | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Social Work, BSSW | bachelor | Trabajo Social | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Sociology, BA | bachelor | Ciencias Sociales | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Theatre, BA | bachelor | Artes | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | World Languages and Literatures, BA | bachelor | Idiomas | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Writing and Media, BA | bachelor | Humanidades | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | eSports Performance Management and Coaching, BS | bachelor | Deportes | no indicada | - | https://www.uab.edu/degrees/undergraduate
The University of Alabama at Birmingham | Accounting, Undergraduate Certificate | curso_corto | Negocios | no indicada | - | https://www.uab.edu/degrees/
The University of Alabama at Birmingham | Data-Driven Modeling, Undergraduate Certificate | curso_corto | Tecnología | no indicada | - | https://www.uab.edu/degrees/
The University of Alabama at Birmingham | Dental Assisting, Undergraduate Certificate | curso_corto | Odontología | no indicada | - | https://www.uab.edu/degrees/
The University of Alabama at Birmingham | Health Coaching, Undergraduate Certificate | curso_corto | Salud | no indicada | - | https://www.uab.edu/degrees/
The University of Alabama at Birmingham | Information Systems, Undergraduate Certificate | curso_corto | Tecnología | no indicada | - | https://www.uab.edu/degrees/
The University of Alabama at Birmingham | Interprofessional Non-Profit Leadership, Undergraduate Certificate | curso_corto | Administración Pública | no indicada | - | https://www.uab.edu/degrees/
The University of Alabama at Birmingham | LGBTQ Health and Wellbeing, Undergraduate Certificate | curso_corto | Salud Pública | no indicada | - | https://www.uab.edu/degrees/
The University of Alabama at Birmingham | Mental Health, Undergraduate Certificate | curso_corto | Psicología | no indicada | - | https://www.uab.edu/degrees/
The University of Alabama at Birmingham | Nutrition and Dietetics, Undergraduate Certificate | curso_corto | Nutrición | no indicada | - | https://www.uab.edu/degrees/
The University of Alabama at Birmingham | Organizational Communication, Undergraduate Certificate | curso_corto | Comunicación | no indicada | - | https://www.uab.edu/degrees/
The University of Alabama at Birmingham | Organizational Leadership, Undergraduate Certificate | curso_corto | Negocios | no indicada | - | https://www.uab.edu/degrees/
The University of Alabama at Birmingham | Professional Sales, Undergraduate Certificate | curso_corto | Negocios | no indicada | - | https://www.uab.edu/degrees/
The University of Alabama at Birmingham | Public History, Undergraduate Certificate | curso_corto | Ciencias Sociales | no indicada | - | https://www.uab.edu/degrees/
The University of Alabama at Birmingham | Real Estate, Undergraduate Certificate | curso_corto | Negocios | no indicada | - | https://www.uab.edu/degrees/
The University of Alabama at Birmingham | Social Media, Undergraduate Certificate | curso_corto | Comunicación | no indicada | - | https://www.uab.edu/degrees/
The University of Alabama at Birmingham | Social Science Research Methods, Undergraduate Certificate | curso_corto | Ciencias Sociales | no indicada | - | https://www.uab.edu/degrees/
The University of Alabama at Birmingham | Academic Advising, Graduate Certificate | posgrado | Educación | no indicada | - | https://www.uab.edu/degrees/graduate
The University of Alabama at Birmingham | Accounting, MAc | maestria | Negocios | no indicada | - | https://www.uab.edu/degrees/graduate
The University of Alabama at Birmingham | Addictions Nursing, Post-Graduate Certificate | posgrado | Enfermería | no indicada | - | https://www.uab.edu/degrees/graduate
The University of Alabama at Birmingham | Administration/Health Services, PhD | doctorado | Salud | no indicada | - | https://www.uab.edu/degrees/graduate
The University of Alabama at Birmingham | Anatomical Science, MS | maestria | Ciencias de la Salud | no indicada | - | https://www.uab.edu/degrees/graduate
The University of Alabama at Birmingham | Anthropology of Peace and Human Rights, MA | maestria | Ciencias Sociales | no indicada | - | https://www.uab.edu/degrees/graduate
The University of Alabama at Birmingham | Applications of Mixed Methods Research, Graduate Certificate | posgrado | Investigación | no indicada | - | https://www.uab.edu/degrees/graduate
