# Lote 29 · 2026-08-07
institucion | nombre | nivel | area | duracion | codigo_oficial | url_fuente

# --- Educatius Group (educatius.org) ---
Educatius Group | Select High School Program | intercambio | Educación Secundaria | trimestre, semestre, ano academico o varios anos | - | https://www.educatius.org/high-school-abroad/programs/select-high-school-program
Educatius Group | Classic High School Program | intercambio | Educación Secundaria | trimestre, semestre o ano academico | - | https://www.educatius.org/high-school-abroad/programs/classic-high-school-program
Educatius Group | Boarding High School Program | intercambio | Educación Secundaria | corto plazo, semestre, ano academico o varios anos | - | https://www.educatius.org/high-school-abroad/programs/boarding-high-school-program
Educatius Group | Hybrid Dual Diploma | secundaria | Educación Secundaria | no indicada | - | https://www.educatius.org/high-school-online/diploma-programs
Educatius Group | All-Online Dual Diploma (Online) | secundaria | Educación Secundaria | 6 cursos | - | https://www.educatius.org/high-school-online/diploma-programs
Educatius Group | Full-Time Diploma (Online) | secundaria | Educación Secundaria | no indicada | - | https://www.educatius.org/high-school-online/diploma-programs
Educatius Group | Single Courses (Online) | curso_corto | Interdisciplinar | no indicada | - | https://www.educatius.org/high-school-online
Educatius Group | Global Skills Prep Camp (Online) | curso_corto | Desarrollo Personal | 15 horas en 10 sesiones | - | https://www.educatius.org/high-school-online

# --- Alliance College (ex Adelaide Hospitality and Tourism School) (alliancecollege.edu.au) ---
Alliance College | Certificate IV in Automotive Mechanical Diagnosis (International) | curso_corto | Automotriz | 26 semanas | AUR40216 / CRICOS 104780B | https://alliancecollege.edu.au/alliance-courses/certificate-iv-in-automotive-mechanical-diagnosis-international/
Alliance College | Diploma of Automotive Technology (International) | diplomado | Automotriz | 26 semanas | AUR50216 / CRICOS 104779F | https://alliancecollege.edu.au/alliance-courses/diploma-of-automotive-technology-international/
Alliance College | Certificate IV in Automotive Electrical Technology (International) | curso_corto | Automotriz | 26 semanas | AUR40620 / CRICOS 116759M | https://alliancecollege.edu.au/alliance-courses/certificate-iv-in-automotive-electrical-technology-international/
Alliance College | Diploma of Business (International) | diplomado | Negocios | 52 semanas | BSB50120 / CRICOS 108202D | https://alliancecollege.edu.au/alliance-courses/diploma-of-business-international
Alliance College | Advanced Diploma of Business (International) | diplomado | Negocios | 52 semanas | BSB60120 / CRICOS 108201E | https://alliancecollege.edu.au/alliance-courses/advanced-diploma-of-business-international
Alliance College | Graduate Diploma of Management (Learning) (International) | posgrado | Negocios | 104 semanas | BSB80120 / CRICOS 109390J | https://alliancecollege.edu.au/alliance-courses/graduate-diploma-of-management-learning-international
Alliance College | Certificate IV in Building and Construction (Building) (International) | curso_corto | Construcción | 52 semanas | CPC40120 / CRICOS 118013D | https://alliancecollege.edu.au/alliance-courses/certificate-iv-in-building-and-construction-building-international/
Alliance College | Dual Diploma and Advanced Diploma of Civil Construction Design (International) | diplomado | Construcción | 104 semanas | RII50520 + RII60520 / CRICOS 118014C + 116178K | https://alliancecollege.edu.au/alliance-courses/dual-diploma-and-advanced-diploma-of-civil-construction-design-international/
Alliance College | Certificate III in Commercial Cookery (International) | curso_corto | Gastronomía | 52 semanas | SIT30821 / CRICOS 109778M | https://alliancecollege.edu.au/alliance-courses/certificate-iii-in-commercial-cookery-international
Alliance College | Certificate III in Patisserie (International) | curso_corto | Gastronomía | 52 semanas | SIT31021 / CRICOS 116179J | https://alliancecollege.edu.au/alliance-courses/certificate-iii-in-patisserie-international/
Alliance College | Certificate IV in Kitchen Management (International) | curso_corto | Gastronomía | 78 semanas | SIT40521 / CRICOS 109640G | https://alliancecollege.edu.au/alliance-courses/certificate-iv-in-kitchen-management-international/
Alliance College | Diploma of Hospitality Management (International) | diplomado | Hospitalidad | 78 semanas | SIT50422 / CRICOS 110502G | https://alliancecollege.edu.au/alliance-courses/diploma-of-hospitality-management-international/
Alliance College | Advanced Diploma of Hospitality Management (International) | diplomado | Hospitalidad | 104 semanas | SIT60316 / CRICOS 091093C | https://alliancecollege.edu.au/alliance-courses/advanced-diploma-of-hospitality-management-international/
Alliance College | General English (Beginner a Advanced) | curso_corto | Idiomas | 72 semanas de estudio + 12 de vacaciones | CRICOS Provider 01774A | https://alliancecollege.edu.au/alliance-courses/elicos/
Alliance College | PTE Preparation | curso_corto | Idiomas | 5-12 semanas | - | https://alliancecollege.edu.au/pte-preparation/

# --- Bexhill 6th Form College (bexhillcollege.ac.uk) · programas internacionales ---
Bexhill 6th Form College | A Levels (International) | secundaria | Interdisciplinar | 2 anos | - | https://www.bexhillcollege.ac.uk/international/courses-overview/
Bexhill 6th Form College | Vocational Level 3 (International) | secundaria | Interdisciplinar | 2 anos | - | https://www.bexhillcollege.ac.uk/international/courses-overview/
Bexhill 6th Form College | Study Year | intercambio | Interdisciplinar | 1 ano | - | https://www.bexhillcollege.ac.uk/international/courses-overview/
Bexhill 6th Form College | Pre A Level | curso_corto | Idiomas | 6 meses - 1 ano | - | https://www.bexhillcollege.ac.uk/international/courses-overview/
Bexhill 6th Form College | Study Semester | intercambio | Interdisciplinar | 5 meses | - | https://www.bexhillcollege.ac.uk/international/courses-overview/
Bexhill 6th Form College | Study Term | intercambio | Interdisciplinar | 4 meses | - | https://www.bexhillcollege.ac.uk/international/courses-overview/
Bexhill 6th Form College | Summer School | vacacional | Idiomas | por semanas · 20 horas de ingles/semana | - | https://www.bexhillcollege.ac.uk/international/summer-school/

# --- Bexhill 6th Form College · A Levels (asignaturas dentro del programa de 2 anos) ---
Bexhill 6th Form College | Ancient History (A Level) | secundaria | Humanidades | 2 anos | - | https://www.bexhillcollege.ac.uk/course/ancient-history/
Bexhill 6th Form College | Art & Design: Fine Art (A Level) | secundaria | Artes | 2 anos | - | https://www.bexhillcollege.ac.uk/course/art-design-fine-art/
Bexhill 6th Form College | Art & Design: Graphics (A Level) | secundaria | Diseño | 2 anos | - | https://www.bexhillcollege.ac.uk/course/art-design-graphics/
Bexhill 6th Form College | Art & Design: Photography (A Level) | secundaria | Artes | 2 anos | - | https://www.bexhillcollege.ac.uk/course/art-design-photography/
Bexhill 6th Form College | Biology (A Level) | secundaria | Ciencias | 2 anos | - | https://www.bexhillcollege.ac.uk/course/biology/
Bexhill 6th Form College | Business (A Level) | secundaria | Negocios | 2 anos | - | https://www.bexhillcollege.ac.uk/course/business/
Bexhill 6th Form College | Chemistry (A Level) | secundaria | Ciencias | 2 anos | - | https://www.bexhillcollege.ac.uk/course/chemistry/
Bexhill 6th Form College | Classical Civilisation (A Level) | secundaria | Humanidades | 2 anos | - | https://www.bexhillcollege.ac.uk/course/classical-civilisation/
Bexhill 6th Form College | Computer Science (A Level) | secundaria | Tecnología | 2 anos | - | https://www.bexhillcollege.ac.uk/course/computer-science/
Bexhill 6th Form College | Dance (A Level) | secundaria | Artes | 2 anos | - | https://www.bexhillcollege.ac.uk/course/dance/
Bexhill 6th Form College | Drama & Theatre Studies (A Level) | secundaria | Artes | 2 anos | - | https://www.bexhillcollege.ac.uk/course/drama-theatre-studies/
Bexhill 6th Form College | Economics (A Level) | secundaria | Economía | 2 anos | - | https://www.bexhillcollege.ac.uk/course/economics/
Bexhill 6th Form College | Electronics (A Level) | secundaria | Ingeniería | 2 anos | - | https://www.bexhillcollege.ac.uk/course/electronics/
Bexhill 6th Form College | English Language (A Level) | secundaria | Humanidades | 2 anos | - | https://www.bexhillcollege.ac.uk/course/english-language/
Bexhill 6th Form College | English Language and Literature (A Level) | secundaria | Humanidades | 2 anos | - | https://www.bexhillcollege.ac.uk/course/english-language-and-literature/
