# Lote 22 · 2026-08-07
institucion | nombre | nivel | area | duracion | codigo_oficial | url_fuente

# --- Confederation College (confederationcollege.ca) · Thunder Bay, Ontario · SOLO catalogo INTERNACIONAL ---
Confederation College | Aviation Technician - Aircraft Maintenance | diplomado | Aviacion | 2 years | 0301 | https://www.confederationcollege.ca/program/aviation-technician-aircraft-maintenance
Confederation College | Carpentry and Renovation Techniques | curso_corto | Construccion | 1 year | 0383 | https://www.confederationcollege.ca/program/carpentry-and-renovation-techniques
Confederation College | Computer Programming | diplomado | Tecnologia | 2 years | 0180 | https://www.confederationcollege.ca/program/computer-programming
Confederation College | Developmental Services Worker | diplomado | Servicios Sociales | 2 years | 0139 | https://www.confederationcollege.ca/program/developmental-services-worker
Confederation College | Developmental Services Worker - Accelerated | diplomado | Servicios Sociales | 9 months | 0162 | https://www.confederationcollege.ca/program/developmental-services-worker-accelerated
Confederation College | Digital Marketing and Marketing Analytics | posgrado | Mercadeo | 2 years | 0268 | https://www.confederationcollege.ca/program/digital-marketing-and-marketing-analytics
Confederation College | Early Childhood Education | diplomado | Educacion | 2 years | 0102 | https://www.confederationcollege.ca/program/early-childhood-education
Confederation College | Embedded Systems | posgrado | Ingenieria | 2 years | 0331 | https://www.confederationcollege.ca/program/embedded-systems
Confederation College | Engineering Business and Safety Management | posgrado | Ingenieria | 2 years | 0342 | https://www.confederationcollege.ca/program/engineering-business-and-safety-management
Confederation College | Environmental Technician - Water Resource Management | diplomado | Medio Ambiente | 2 years | 0387 | https://www.confederationcollege.ca/program/environmental-technician-water-resource-management
Confederation College | Health Administration and Leadership | posgrado | Administracion en Salud | 1 year | 0294 | https://www.confederationcollege.ca/program/health-administration-and-leadership
Confederation College | Health Informatics | posgrado | Tecnologia | 1 year | 0265 | https://www.confederationcollege.ca/program/health-informatics
Confederation College | Honours Bachelor of Science in Nursing (BScN) | bachelor | Enfermeria | 4 years | 0650 | https://www.confederationcollege.ca/program/honours-bachelor-science-nursing-bscn
Confederation College | Industrial Manufacturing Processes | posgrado | Ingenieria | 2 years | 0345 | https://www.confederationcollege.ca/program/industrial-manufacturing-processes
Confederation College | Information Communication Technology (ICT) Solutions for Business | posgrado | Tecnologia | 2 years | 0358 | https://www.confederationcollege.ca/program/information-communication-technology-ict-solutions-business
Confederation College | Interactive Media Development | diplomado | Medios Digitales | 3 years | 0174 | https://www.confederationcollege.ca/program/interactive-media-development
Confederation College | Mechanical Techniques | curso_corto | Mecanica | 34 weeks | 0394 | https://www.confederationcollege.ca/program/mechanical-techniques
Confederation College | Medical Laboratory Assistant | curso_corto | Salud | 1 year | 0603 | https://www.confederationcollege.ca/program/medical-laboratory-assistant
Confederation College | Motive Power Techniques - Heavy Equipment | curso_corto | Mecanica | 34 weeks | 0372 | https://www.confederationcollege.ca/program/motive-power-techniques-heavy-equipment
Confederation College | Personal Support Worker | curso_corto | Salud | 1 year | 0630 | https://www.confederationcollege.ca/program/personal-support-worker
Confederation College | Pharmacy Technician | diplomado | Quimica y Farmacia | 2 years | 0645 | https://www.confederationcollege.ca/program/pharmacy-technician
Confederation College | Practical Nursing | diplomado | Enfermeria | 2 years | 0619 | https://www.confederationcollege.ca/program/practical-nursing
Confederation College | Pre-Health Sciences - Pathway to Advanced Diplomas & Degrees | curso_corto | Salud | 1 year | 0153 | https://www.confederationcollege.ca/program/pre-health-sciences-pathway-advanced-diplomas-and-degrees
Confederation College | Recreation Therapy | diplomado | Salud | 2 years | 0108 | https://www.confederationcollege.ca/program/recreation-therapy
Confederation College | Recreation Therapy - Accelerated | diplomado | Salud | 1 year | 0105 | https://www.confederationcollege.ca/program/recreation-therapy-accelerated
Confederation College | Welding Techniques | diplomado | Manufactura | 32 weeks | 0375 | https://www.confederationcollege.ca/program/welding-techniques

# --- Istituto Marangoni (istitutomarangoni.com) · Milano x2 / Firenze / Paris / London / Dubai / Riyadh / Mumbai / Shanghai / Shenzhen / Virtual School ---
Istituto Marangoni | Arts Curating | bachelor | Artes | 3 anios | - | https://www.istitutomarangoni.com/en/art-courses/bachelor-degrees/art-curating-and-business/arts-curating
Istituto Marangoni | Multimedia Arts | bachelor | Artes Digitales | 3 anios | - | https://www.istitutomarangoni.com/en/art-courses/bachelor-degrees/multimedia-art/multimedia-arts
Istituto Marangoni | Art & Culture Surgery | curso_corto | Artes | 1 anio | - | https://www.istitutomarangoni.com/en/art-courses/foundation-year/art-curating-and-business/art-culture-surgery
Istituto Marangoni | Digital Fine Art | diplomado | Artes Digitales | 1 anio | - | https://www.istitutomarangoni.com/en/art-courses/intensive-course-one-year/multimedia-art/digital-fine-art
