institucion,estado,dominio_real,nombre_real,url_programas,cantidad_aprox,niveles_vistos,nota
Brocks University,dominio_nuevo,brocku.ca,Brock University,https://brocku.ca/programs/,120,pregrado;posgrado,"La ficha no traia dominio y el nombre esta mal escrito (Brock, no Brocks). brocku.ca responde 200 a un navegador pero 403 a fetchers automaticos: la extraccion necesita user-agent de browser."
CCEL - Canadian College of English Language,ok,,Canadian College of English Language (CCEL),https://canada-english.com/en/smrt-english-esl,20,idiomas;pathway,"No hay un indice unico de cursos: cuelgan del menu (SMRT/General, Business, IELTS, CELPIP, University Pathway, Health & Wellness). Hay que recorrer el menu, no una sola pagina."
CCI-LEX,ok,,Cultural Connections Institute - The Learning Exchange (CCI-LEX),https://cci-lex.ca/student-programs/,6,idiomas,"La ficha dice Alberta; el sitio es Edmonton. Catalogo muy pequeno: ESL general, IELTS/CELPIP, pronunciacion y tutoria privada."
Cambrian College,dominio_nuevo,catalog.cambriancollege.ca,Cambrian College of Applied Arts and Technology,https://catalog.cambriancollege.ca/,100,vocacional;pregrado;posgrado,"cambriancollege.ca/programs es solo portada; el catalogo real vive en el subdominio catalog.cambriancollege.ca. La ficha dice 'Sudbury, Vancouver' y Cambrian no tiene campus en Vancouver. puede_vender solo dice vocacional pero tambien hay degrees y post-grad certificates."
Canada College of Technology and Business - CCTB,ok,,Canadian College of Technology and Business (CCTB),https://www.canadianctb.ca/programs/diplomas,12,vocacional;idiomas;pathway,"El nombre correcto es 'Canadian', no 'Canada'. puede_vender='todos' es falso: solo diplomas de 1 ano, EAP y pathway a University Canada West; no hay pregrado ni posgrado propios."
Canadian Language Learning College - CLLC,ok,,CLLC Canada,https://www.cllc.ca/,17,idiomas;pathway,"No hay pagina indice: los ~9 cursos presenciales son URLs /onsite-*/ enlazadas desde la home, y los ~8 cursos online viven en OTRO dominio (cllconline.ca). Campus: Halifax (=Nova Scotia de la ficha), Ottawa, Toronto e Istanbul."
Casa Toronto & Casa Vancouver,sin_catalogo,casacanada.com,Casa Student Housing,,0,,casa-toronto.com redirige 301 a casacanada.com. NO es una institucion educativa: es proveedor de alojamiento estudiantil (residencias y homestay en Toronto y Vancouver). No hay nada que extraer; no mandar la pasada cara.
Centennial College,dominio_nuevo,centennialcollege.ca,,https://www.centennialcollege.ca/programs-and-courses,175,idiomas;pregrado;posgrado;vocacional;pathway,"La ficha no traia dominio. Toronto, college publico. El listado full-time se carga con filtros (JS); las fuentes publicas hablan de 150-200+ programas full-time."
Cira College,dominio_nuevo,ciracareers.ca,CIRA Career College,https://ciracareers.ca/programs/,5,vocacional,"ciracollege.com redirige 301 a ciracareers.ca (rebrand a 'CIRA Career College'). Catalogo minimo: 5 programas (web/IA, business management, ECEA, frances profesional, pharmacy assistant)."
College international Mont-Tremblant,ok,,College International de Mont-Tremblant,https://collegeinternationalmont-tremblant.com/programmes/,2,high_school,"Solo 2 concentraciones (sport-etudes e internacional con Cambridge IGCSE), no un catalogo. puede_vender='todos' es falso: es secundaria privada con internado. Ojo: el sitio esta escrito en futuro y anuncia apertura pendiente (una lectura menciona agosto 2030) - confirmar con el cliente si ya opera antes de venderlo."
