institucion,estado,dominio_real,nombre_real,url_programas,cantidad_aprox,niveles_vistos,nota
University of East Anglia,ok,,,https://www.uea.ac.uk/course-finder,900,pregrado;posgrado;foundation;apprenticeship,"El buscador es JS, pero el sitemap lista ~924 fichas bajo /course/. El pathway no lo vende uea.ac.uk sino INTO UEA (into.uea.ac.uk)."
University of Exeter,ok,,,https://www.exeter.ac.uk/study/undergraduate/courses/,400,pregrado;posgrado;PGCE;online,"Cifra ESTIMADA: el listado es JS y los sitemaps que declara robots.txt dan 404. Ciudad 'Cornwall' es correcta (campus Penryn y Truro). Pathway via INTO Exeter, otro sitio."
University of Glasgow,dominio_nuevo,gla.ac.uk,,https://www.gla.ac.uk/undergraduate/degrees/,410,pregrado;posgrado,"Ficha sin dominio; encontrado y confirmado. 142 grados UG + 270 PG taught. puede_vender dice pathway: eso lo entrega el University of Glasgow International College (Kaplan), que es otro sitio. Confirmar con el cliente cual de los dos quiere."
University of Greenwich,ok,,,https://www.gre.ac.uk/undergraduate-courses,382,pregrado;posgrado;foundation;cursos cortos,382 fichas de curso en el sitemap (undergraduate-courses/ + postgraduate-courses/). El listado en pantalla es JS; usar el sitemap.
University of Hertfordshire - HIC,dominio_nuevo,hic.herts.ac.uk,Hertfordshire International College,https://hic.herts.ac.uk/study/,18,idiomas;foundation/pathway;pregrado;posgrado,"Ficha sin dominio. hic.navitas.com redirige a hic.herts.ac.uk. Es el college de Navitas dentro del campus de la U. de Hertfordshire (Hatfield), no la universidad: no esperar el catalogo completo de herts.ac.uk."
University of Huddersfield,dominio_nuevo,courses.hud.ac.uk,,https://courses.hud.ac.uk/,400,pregrado;posgrado;doctorado;apprenticeship,hud.ac.uk/courses/ responde 301 al subdominio: el catalogo vive ahi. Cifra ESTIMADA: el buscador es SearchStax por JS y no se pudo contar desde el HTML.
University of Leeds,dominio_nuevo,courses.leeds.ac.uk,,https://courses.leeds.ac.uk/,560,pregrado;posgrado;foundation integrado,leeds.ac.uk/courses da 404: el catalogo esta en el subdominio. Su sitemap tiene 578 URLs y casi todas son fichas de curso (patron /CODIGO/nombre_ba).
University of Liverpool,dominio_nuevo,liverpool.ac.uk,,https://www.liverpool.ac.uk/courses,500,pregrado;posgrado,"Ficha sin dominio; encontrado y confirmado. ~255 cursos UG + ~246 PG taught. puede_vender dice pathway: eso es del University of Liverpool International College (Kaplan), otro sitio."
University of Plymouth International College (UPIC),dominio_nuevo,upic.navitas.com,University of Plymouth International College,https://upic.navitas.com/study/,31,foundation/pathway;pregrado (first year);posgrado (pre-masters);idiomas,Ficha sin dominio. ~13 rutas de foundation + ~8 first year + ~10 pre-masters + pre-sessional English. DUPLICADA con la ficha 'University of Plymouth International College UPIC' (la que trae navitas.com): fusionar las dos.
University of Plymouth International College UPIC,otra_institucion,upic.navitas.com,Navitas,https://upic.navitas.com/study/,31,foundation/pathway;pregrado (first year);posgrado (pre-masters);idiomas,"OJO resuelto: navitas.com es el sitio CORPORATIVO del grupo Navitas y no lista programas de ningun college. De las 8 fichas que comparten ese dominio solo corresponde a la ficha 'Navitas'. Cada college tiene subdominio propio: upic.navitas.com, ucic.navitas.com, hic.herts.ac.uk, etc. Ademas esta ficha esta duplicada con 'University of Plymouth International College (UPIC)'."
University of Portsmouth,dominio_nuevo,port.ac.uk,,https://www.port.ac.uk/study/courses,434,pregrado;posgrado,"Ficha sin dominio; encontrado y confirmado (434 fichas de curso en el sitemap). Ojo: existe otra ficha 'ICP - University of Portsmouth' que es el college de pathway de Navitas, no la universidad: son entidades distintas."
University of Sheffield,ok,,University of Sheffield International College (USIC),https://usic.sheffield.ac.uk/programmes,15,idiomas;foundation/pathway;pregrado (International Year One);posgrado (pre-masters),"El dominio NO es el de la universidad (sheffield.ac.uk) sino el del college de pathway operado por Study Group. Encaja con puede_vender=pathway, pero la extraccion no debe esperar los cientos de grados de la universidad: son 4 familias de pathway con rutas por materia."
University of South Wales,ok,,,https://www.southwales.ac.uk/courses/,360,pregrado;posgrado;foundation,18 paginas x ~20 cursos. AVISO para la pasada siguiente: el sitio devuelve 403 a clientes sin User-Agent de navegador; hay que mandar UA.
University of Stirling,ok,,,https://www.stir.ac.uk/courses/,160,pregrado;posgrado taught;doctorado;CPD,~63 UG + ~99 PG. No publica idiomas ni vocacional: puede_vender='todos' es mas amplio que lo que el sitio muestra.
University of Strathclyde,ok,,University of Strathclyde International Study Centre,https://isc.strath.ac.uk/programmes,10,idiomas;foundation;pregrado (International Year Two);posgrado (pre-masters),"El dominio es el del International Study Centre (Study Group), no el de la universidad (strath.ac.uk). Coherente con puede_vender=pathway, pero es catalogo de pathway, no de grados."
University of Sussex,ok,,,https://www.sussex.ac.uk/study/undergraduate/courses,340,pregrado;posgrado,"~177 cursos UG + ~166 masters. El pathway se vende via Sussex International Study Centre, que es otro sitio."
University of West England,dominio_nuevo,courses.uwe.ac.uk,"University of the West of England, Bristol",https://courses.uwe.ac.uk/Search,655,pregrado;posgrado;foundation;apprenticeship,El buscador declara '655 results'. El catalogo vive en el subdominio; uwe.ac.uk/courses es solo portada. Nombre de la ficha incompleto: es 'University of the West of England'.
University of York,dominio_nuevo,york.ac.uk,,https://www.york.ac.uk/study/undergraduate/courses/,440,pregrado;posgrado,"Ficha sin dominio; encontrado y confirmado. ~250 UG + ~190 PG taught. puede_vender dice pathway: eso lo entrega el York International Pathway College, otro sitio."
Westminster University,ok,,University of Westminster,https://www.westminster.ac.uk/course-search,284,pregrado;posgrado,"284 cursos unicos en el sitemap (833 URLs si se cuentan anios e intakes). El listado en pantalla esta paginado por JS: usar el sitemap. Nombre real 'University of Westminster'. No publica idiomas ni vocacional, asi que puede_vender='todos' esta inflado."
Whitecliffe University of Applied Sciences,otra_institucion,whitecliffe.de,Oxford International Education Group,https://www.oxfordinternational.com/partner/whitecliffe-university-of-applied-sciences/,6,pregrado;posgrado,"OJO resuelto: oxfordinternational.com es de Oxford International Education Group (agente/pathway), o sea corresponde a la ficha 'Oxford International', no a esta; Whitecliffe solo figura ahi como partner. Ademas hay error grave de ficha: Whitecliffe University of Applied Sciences NO esta en Belfast/UK sino en BERLIN, Alemania (antes Berlin International University of Applied Sciences); su sitio propio es whitecliffe.de. Ofrece ~6 programas de Arquitectura, Diseno de Interiores y Negocios."
AMERICAN CURRICULUM PARTNERSHIP - Penn School,dominio_nuevo,pennschool.org,The Pennsylvania School,https://www.pennschool.org/high-school-9-12,4,primaria;middle school;high_school;dual diploma,"Ficha sin dominio. pennschool.org = The Pennsylvania School, 'powered by American Curriculum Partnerships' (el sitio del grupo es uscurriculum.com). Es colegio americano online: publica niveles y el diploma, NO un catalogo de cursos individuales."
Amerigo,ok,,Amerigo Education,https://www.amerigoeducation.com/find-your-school,32,high_school,"Lo que publica son 32+ COLEGIOS socios (US, Canada, UK) y 3 modalidades (diploma, intercambio, online), no cursos. La extraccion debe tratar cada colegio como unidad."
Arizona State University,dominio_nuevo,degrees.asu.edu,Arizona State University,https://degrees.asu.edu/,800,pregrado;posgrado;online,"Ficha sin dominio. asu.edu es solo portada; el catalogo vive en el subdominio degrees.asu.edu, que declara '800 degree programs'. puede_vender dice solo pathway y el sitio no vende pathway: confirmar con el cliente que comercializa realmente."
Australian College of Technology and Business-ACBT,dominio_nuevo,acbt.net,Australian College of Business and Technology (ACBT),https://www.acbt.net/programs/,16,secundaria (O/L y A/L);foundation;vocacional (diploma y advanced diploma);pregrado,"Ficha sin dominio y con el nombre invertido (es 'Business and Technology'). acbt.lk redirige a acbt.net. ERROR DE FICHA: esta en COLOMBO, SRI LANKA (socio de Navitas, ECU y Middlesex), no en USA."
Bridgeport International Academy (BIA),dominio_nuevo,bridgeportacademy.org,Bridgeport International Academy,https://www.bridgeportacademy.org/subject-areas/,8,high_school (grados 9-12);idiomas (ESL);postgraduate year,"Ficha sin dominio; encontrado y confirmado (boarding/day school en Bridgeport CT, junto a la University of Bridgeport). Publica 8 areas de materias, no cursos individuales; ofrece ademas creditos universitarios duales con UB y Housatonic CC."
