institucion,estado,dominio_real,nombre_real,url_programas,cantidad_aprox,niveles_vistos,nota
The University of Texas at San Antonio,dominio_nuevo,utsa.edu,,https://future.utsa.edu/programs/,400,pregrado;posgrado;certificados,"Ficha sin dominio; sitio oficial confirmado en San Antonio TX. La ficha solo habilita posgrado pero el sitio lista pregrado con la misma fuerza."
Tulane University,dominio_nuevo,tulane.edu,,https://catalog.tulane.edu/,200,pregrado;posgrado;profesional,"Catalogo completo vive en el subdominio catalog.tulane.edu (edicion 2026-2027); la portada solo enlaza 75+ majors y minors de pregrado via admission.tulane.edu."
University at Buffalo,dominio_nuevo,buffalo.edu,"University at Buffalo, The State University of New York",https://www.buffalo.edu/home/academics/degree_programs.html,600,pregrado;posgrado,"Nombre oficial en el sitio agrega The State University of New York (SUNY); la ficha usa el nombre corto."
University of Central Florida,dominio_nuevo,ucf.edu,,https://www.ucf.edu/degree-search/,220,pregrado;posgrado,"Confirmado en Orlando FL; el buscador de grados es la fuente, no el menu de academics."
University of Dayton,dominio_nuevo,udayton.edu,,https://udayton.edu/academics/programs/index.php,150,pregrado;posgrado;certificados,"Confirmado en Dayton OH; 70+ bachelors, 30+ masters, doctorados y ~50 certificados."
University of Kansas,dominio_nuevo,ku.edu,The University of Kansas,https://ku.edu/fields-of-study,400,pregrado;posgrado;certificados,"Ojo ruta: ku.edu/academics/fields-of-study da 404. La buena es ku.edu/fields-of-study."
"University of Nevada, Reno",dominio_nuevo,unr.edu,,https://catalog.unr.edu/,560,pregrado;posgrado;certificados,"Catalogo en subdominio catalog.unr.edu; unr.edu/degrees es solo la vista comercial. Confirmado en Reno NV, la ciudad de la ficha."
University of South Carolina,dominio_nuevo,sc.edu,,https://www.sc.edu/study/majors_and_degrees/index.php,350,pregrado;posgrado;certificados,"Confirmado en Columbia SC; no confundir con University of Southern California (usc.edu)."
University of Utah,dominio_nuevo,utah.edu,The University of Utah,https://catalog.utah.edu/programs,250,pregrado;posgrado;certificados,"Catalogo en subdominio catalog.utah.edu y el listado carga por JavaScript: la cantidad es estimada y un scraper sin render vera cero programas."
University of Wyoming,dominio_nuevo,uwyo.edu,,https://www.uwyo.edu/uw/degree-programs/index.html,200,pregrado;posgrado;certificados,"Confirmado en Laramie WY."
University of the Pacific,dominio_nuevo,pacific.edu,,https://www.pacific.edu/academics/undergraduate-programs,138,pregrado;posgrado;profesional,"Son DOS listados separados: 83 en /academics/undergraduate-programs y 55 en /academics/graduate-programs. Sede principal Stockton CA mas Sacramento y San Francisco."
