institucion,estado,dominio_real,nombre_real,url_programas,cantidad_aprox,niveles_vistos,nota
4Life College,dominio_nuevo,alg.edu.au,4Life (marca de Australian Learning Group),https://alg.edu.au/4life/,10,vocacional,"4lifecollege.edu.au es NXDOMAIN (apex y www). 4Life es submarca de Australian Learning Group, RTO 91165; su catalogo vive dentro de alg.edu.au: community services, childcare, counselling, ageing support y mental health."
AEC Education Group Pty ltd T/A Aussie English College,dominio_muerto,,,,,,"No se pudo encontrar el sitio con seguridad. No aparece ninguna 'Aussie English College' en los registros; los AEC australianos son otros (Astley English College CRICOS 03524C, Australian Education Centre). La ciudad de la ficha, 'Harbour', tampoco es una ciudad. Ficha inservible tal cual: pedirle al cliente el CRICOS o el sitio."
AMA College,dominio_nuevo,amacollege.edu.au,,https://www.amacollege.edu.au/,5,vocacional,"La ficha no traia dominio. RTO 2010, respaldado por la Australian Medical Association; campus en Joondalup (Perth), no Perth CBD. Catalogo chico y muy acotado a salud y cuidado (Diploma of Nursing, Cert III Individual Support). El ELICOS lo presta un partner, no es propio."
Ability - MEGT,dominio_muerto,,,,,,"ability.edu.au es NXDOMAIN en apex y www. Ability Education Pty Ltd (T/A Ability English, division de MEGT Education) incumplio con sus estudiantes internacionales el 27-abr-2021 segun el aviso TPS del Department of Education: la escuela cerro. Sacar la ficha del catalogo."
Acacia Institute,dominio_muerto,acacia.edu.au,,,,,"DNS resuelve (43.250.140.24) pero el servidor rechaza toda conexion en 443 y 80, apex y www, en varios reintentos y con distintos user-agents. Los buscadores si tienen contenido reciente, asi que apunta a geobloqueo fuera de Australia y no a cierre. Verificar a mano desde una IP australiana antes de mandar la extraccion."
Acknowledge Education Pty Ltd,dominio_nuevo,acknowledgeeducation.edu.au,,https://www.acknowledgeeducation.edu.au/courses,30,idiomas;high_school;vocacional;pregrado;posgrado,"La ficha no traia dominio ni ciudad. Fundada 1883, RTO 4112, CRICOS 00197D; campus en Melbourne, Sydney, Perth, Brisbane y Adelaide. Opera 4 marcas (Stotts College, Front Cooking School, Melbourne Language Centre, English for Secondary Schools), asi que el catalogo aparece repartido. Vende mucho mas que 'vocacional': tambien VCE, bachelors y masters."
Acumen Education,dominio_nuevo,acumen.edu.au,Acumen Institute of Further Education,https://acumen.edu.au/courses/,10,vocacional;idiomas,"La razon social es Acumen Education Pty Ltd pero en el sitio se llama Acumen Institute of Further Education. RTO 22205, city campus en 55 Swanston St Melbourne mas Richmond, Sunshine West, Collingwood y Abbotsford. Areas: hospitalidad, automotriz, contabilidad, negocios e ingles, de Cert III a Diploma Avanzado. El conteo es estimado: la pagina de cursos no lista todo de golpe."
Ahts Training & Education,dominio_nuevo,alliancecollege.edu.au,Alliance College,https://alliancecollege.edu.au/alliance-courses,40,vocacional;idiomas,"ahts.sa.edu.au responde 301 permanente a alliancecollege.edu.au: es un rebrand, no un dominio caido. Campus en Adelaide y Sydney. Catalogo amplio (automotriz, hospitalidad, construccion, negocios, cocina) mas ELICOS, de Cert II a Diploma de Posgrado."
Australian College of Dance,sin_catalogo,,Australian Learning Group,https://alg.edu.au/courses/,0,vocacional,"OJO: alg.edu.au es Australian Learning Group y no menciona danza en ninguna parte; su catalogo son 7 areas de salud, comunidad, fitness y yoga. ACD si fue marca de ALG (mismo RTO 91165) pero su sitio propio dancecollege.com.au es NXDOMAIN, o sea que la marca parece cerrada. NO extraer de alg.edu.au: saldrian cursos de aged care firmados como colegio de danza."
Britts College,dominio_nuevo,brittscollege.edu.au,Britts College Pty Ltd,https://brittscollege.edu.au/courses/,20,idiomas;vocacional,"La ficha no traia dominio. RTO 40330, CRICOS 04061K; campus en Melbourne CBD, South Melbourne, Sydney CBD y Bondi Junction. ELICOS mas VET en negocios, cocina, construccion, IT y liderazgo, de Certificado a Diploma Avanzado."
CTA,dominio_nuevo,ctaustralia.vic.edu.au,Construction Training Australia Pty Ltd,https://www.ctaustralia.vic.edu.au/courses/,18,vocacional,"OJO, ficha ambigua: 'CTA' son tres letras y en Australia hay al menos tres. Me quedo con Construction Training Australia porque es el unico que cuadra con Melbourne (Brunswick) + vocacional + CRICOS 04139D, o sea habilitado para internacionales; RTO 46022 y usa 'CTA' como sigla propia en su sitio. Los otros candidatos son clubtraining.com.au (CTA Training Specialists, sede Brisbane) y cta.edu.au (Create Train Achieve, solo domestico). Confirmar con el cliente antes de extraer."
Canberra Institute of Technology CIT,dominio_muerto,cit.edu.au,,https://cit.edu.au/courses,,vocacional,"El dominio vive y si es CIT, pero devuelve 403 a TODO acceso automatizado: probado en apex, www y /courses, con tres user-agents distintos, tanto por WebFetch como por curl. Es un WAF anti-bot, no un cierre ni un cambio de dominio. La pasada de extraccion va a fallar igual: hay que sacarlo con navegador o pedirle el catalogo al cliente."
Charles Sturt University,dominio_nuevo,sydneymelbourne.csu.edu.au,Charles Sturt University Sydney and Melbourne (operado por Navitas),https://sydneymelbourne.csu.edu.au/courses/,10,pregrado;posgrado,"La ficha esta mal en dos cosas: no es 'College Privado' sino una universidad publica, y no vende 'vocacional' sino pregrado y posgrado. Los campus de Sydney y Melbourne los opera Navitas y solo ofrecen contabilidad, negocios, IT, salud y servicios humanos. Si lo que el cliente vende es la universidad completa, el dominio es csu.edu.au y son cientos de cursos, no 10."
City Language Centre,dominio_nuevo,cityenglish.edu.au,,https://cityenglish.edu.au/courses/,5,idiomas,"La ficha no traia dominio; ojo que el dominio no se parece al nombre. Razon social City Language Institute Pty Ltd. Campus en Melbourne y tambien en Adelaide, que la ficha no registra. Solo ELICOS: General English, Australian Lifestyle English, IELTS, EAP y Further Study Pathway."
Curtin University,ok,,,https://search.curtin.edu.au/results/courses?q=,300,pregrado;posgrado;investigacion,"Dominio correcto y vivo. El catalogo no es un listado plano sino un buscador paginado, asi que la extraccion tiene que iterar la busqueda y no raspar una sola pagina. El conteo es orden de magnitud, no cuenta real. La ficha promete idiomas pero curtin.edu.au no los vende: el pathway y el ELICOS son de Curtin College, entidad Navitas aparte."
Deakin University,ok,,,https://www.deakin.edu.au/study/find-a-course,400,pregrado;posgrado;investigacion,"Dominio correcto y vivo. OJO para la pasada siguiente: www.deakin.edu.au devuelve 403 a los fetches automatizados y solo el apex deakin.edu.au responde 200. El catalogo se abre por find-a-course con ramas separadas de undergraduate, postgraduate y short courses. Campus en Melbourne (Burwood), Geelong y Warrnambool. El conteo es orden de magnitud."
EQI,dominio_nuevo,eqi.com.au,Education Queensland International,https://eqi.com.au/study-options,11,high_school;primaria;idiomas;intercambio,"La ficha no traia dominio. No es un college: es el brazo comercial del Department of Education de Queensland y lo que vende son plazas en colegios publicos del estado. El 'todos' de puede_vender es falso: no hay pregrado, posgrado ni vocacional, sino primaria, secundaria, IB, study abroad, study tours y preparacion de ingles."
EntrepreneurEducation,ok,,Entrepreneur Education Pty Ltd,https://www.entrepreneur.edu.au/faculties/,25,vocacional;idiomas,"Dominio correcto y vivo, en Surfers Paradise (Gold Coast), RTO 40952 CRICOS 03432G. El catalogo se organiza en 7 facultades (Design, Trade, Entrepreneurship, Leadership, Health, Hospitality, English) y no hay listado plano: hay que entrar facultad por facultad, de ahi que el conteo sea estimado. La ficha dice 'todos' pero solo se ve VET y ELICOS."
Eyenesbury College,dominio_nuevo,eynesbury.edu.au,Eynesbury College,https://www.eynesbury.edu.au/programs/,8,pathway;posgrado;idiomas,"Dos correcciones. El nombre esta mal escrito en la ficha: es Eynesbury, no Eyenesbury. Y eynesbury.navitas.com responde 301 permanente a eynesbury.edu.au. Esta en Adelaide y prepara para Adelaide University. OJO: la ficha autoriza high_school y vocacional y ninguno de los dos aparece en el sitio; lo que hay es Foundation Studies, 5 diplomados, un Graduate Certificate y ELICOS."
Focus Language School,dominio_nuevo,focus.edu.au,Focus Language School / Focus Vocational College,https://www.focus.edu.au/english-courses,8,idiomas;vocacional;high_school,"La ficha no traia dominio ni puede_vender. CRICOS 03346E, Melbourne CBD. Ademas de ELICOS (General English, EAP, IELTS, OET) tiene preparacion para colegio de 7 a 17 anos y una rama vocacional propia (Cert III Individual Support, Cert IV Mental Health, Diploma Community Services)."
Gamma College,dominio_muerto,gamma.edu.au,Gamma Education & Training Pty Ltd,https://gamma.edu.au/,,vocacional,"Mismo patron que Acacia: DNS resuelve pero el servidor rechaza la conexion en 443 y 80, apex y www, en varios reintentos. Los buscadores tienen contenido reciente, asi que apunta a geobloqueo fuera de Australia y no a cierre. RTO 41477, CRICOS 03580F, campus en Sydney (Ultimo), Brisbane y Melbourne; cocina, hospitalidad, IT, negocios y gestion. Verificar desde IP australiana."
Gold Coast International College,dominio_nuevo,gic.edu.au,,https://gic.edu.au/faculties/,20,vocacional,"La ficha no traia dominio. RTO 45028, CRICOS 03568B, sede en Miami QLD (Gold Coast), no en 'Queensland' generico. OJO: la ficha autoriza idiomas y el sitio NO publica ELICOS; las 5 facultades son hospitalidad, oficios, negocios, fitness y deporte y recreacion. La ruta /courses/ da 404: el catalogo cuelga de /faculties/."
