institucion,estado,dominio_real,nombre_real,url_programas,cantidad_aprox,niveles_vistos,nota
Newdeal Institut,ok,,Newdeal Institut de Francais,https://francais.newdealinstitut.com/cours-de-francais-en-france/,18,idiomas,"La ciudad de la ficha (""Budeos"") es Bordeaux mal escrito; el sitio confirma Burdeos."
Sainte Victoire International School,dominio_nuevo,svis.fr,,https://www.svis.fr/academics/educational-approach,3,primaria;secundaria;high_school (IGCSE;IB),"schoolsaintevictoire.com redirige 301 a svis.fr. No publica cursos sueltos: solo tres ciclos (primary/middle/high). Ciudad real: Fuveau, Provenza."
Speos,dominio_nuevo,speos-photo.com,Speos International Photography School,https://speos-photo.com/en/1-year-photography-programs/,10,vocacional;pregrado;cursos_cortos,"Ficha duplicada: es la misma institucion que ""Spéos, Paris Photographic Institute"" de este mismo lote. Deduplicar antes de extraer o el catalogo saldra dos veces."
"Spéos, Paris Photographic Institute",ok,,Speos International Photography School,https://speos-photo.com/en/1-year-photography-programs/,10,vocacional;pregrado;cursos_cortos,"puede_vender dice pregrado/posgrado/intercambio, pero la oferta real es formacion profesional en fotografia de 1 y 2 anos mas cursos cortos y workshops; no hay posgrado."
AGI anglo-german institute,ok,,Anglo-German Institute (agi),https://www.agi-german-courses.de/deutschkurse-in-stuttgart/,10,idiomas (MCER);preparacion TestDaF,
BSBI Berlin School of Business & Innovation,ok,,Berlin School of Business and Innovation,https://www.berlinsbi.com/es/programas,30,pregrado;posgrado;doctorado;certificados,"Ademas de Berlin tiene campus en Hamburgo, Paris, Barcelona y Madrid: al extraer hay que guardar el campus o se mezclan sedes."
BWS - Germanlingua,ok,,BWS Germanlingua,https://www.bws-germanlingua.de/language-school-munich/,12,idiomas (MCER),"El catalogo esta partido por ciudad (/language-school-munich, /-berlin, /-cologne); hay que recorrer las tres o falta un tercio."
Carl Duisberg Centren,dominio_nuevo,cdc.de,Carl Duisberg Centren gGmbH,https://www.carl-duisberg-language-courses.com/german-as-foreign-language,15,idiomas;vocacional (Ausbildung);formacion profesional,"Ficha sin dominio. cdc.de es el sitio corporativo y casi no lista cursos; el catalogo real vive en carl-duisberg-language-courses.com, que rechazo la conexion desde nuestra IP (ECONNREFUSED) - reintentar en la pasada de extraccion."
Constructor University Bremen gGmbH,dominio_nuevo,constructor.university,Constructor University,https://constructor.university/study,30,pregrado;posgrado;MBA;doctorado;foundation;pre-universitario,"Ficha sin dominio. Es la ex Jacobs University Bremen; si el cliente tiene fichas viejas con jacobs-university.de son la misma entidad."
Coracle,sin_catalogo,,,,0,,"No es una institucion educativa: coracle.de vende cuenta bloqueada, seguro medico y seguro de viaje para estudiantes en Alemania. No tiene programas que extraer; sacarla del catalogo."
DID deutsch-institut worldwide,ok,,did deutsch-institut,https://www.did.de/deutschkurse,15,idiomas (adultos;jovenes;examenes),"Opera en mas sedes que las 4 de la ficha: tambien Augsburgo, Oberwesel y Viena (Austria, otro pais)."
EBS Universitat,ok,,EBS Universitat fur Wirtschaft und Recht,https://www.ebs.edu/ebs-business-school/studienprogramme,12,pregrado;posgrado;MBA;doctorado,"12 titulaciones repartidas en Business School (9) y Law School (3), mas 55 programas de la Executive School que son formacion continua y no titulacion: decidir si entran."
Eurasia,dominio_nuevo,eurasia-institute.com,EIIE EURASIA Institute for International Education GmbH,https://www.eurasia-institute.com/en/,10,idiomas;pathway universitario,"La ficha solo dice ""Eurasia"", sin ciudad ni categoria. El candidato mas probable es el instituto de Berlin fundado en 1993 (pathway de aleman a universidad publica), pero el nombre es generico: confirmar con el cliente antes de extraer."
GISMA University of applied Sciences,ok,,Gisma University of Applied Sciences,https://www.gisma.com/programmes,25,pregrado;posgrado;MBA;cursos cortos,"La ficha dice Hannover pero el campus insignia hoy es Potsdam (mas Berlin y Londres); Hannover ya no aparece en el sitio."
GLS,ok,,GLS German Language School / GLS Campus Berlin,https://www.gls-german-courses.de/german-courses-for-adults-berlin.html,20,idiomas (A1-C2);pathway universitario;preparacion de examenes,
"Hochschulen Fresenius, University of Applied Sciences",dominio_nuevo,hs-fresenius.de,Hochschule Fresenius,https://www.hs-fresenius.de/bachelor/,140,pregrado;posgrado;dual;formacion profesional;certificados,"Ficha sin dominio. Catalogo grande (140+ programas) repartido en /bachelor/ y /master/ y en 9 ciudades mas campus online: si la extraccion devuelve menos de 100, se quedo corta."
Lancaster University,ok,,Lancaster University Leipzig,https://www.lancasterleipzig.de/study/,16,pregrado;posgrado;foundation;pre-master,"Ojo con el nombre de la ficha: es el campus de Leipzig de la Lancaster University britanica, no la universidad matriz. Extraer solo el catalogo de lancasterleipzig.de; el de Lancaster UK es otro y mucho mayor."
Media University of Applied Sciences,dominio_nuevo,media-university.de,Media University (ex HMKW),https://www.media-university.de/en/study/,11,pregrado;posgrado,"Ficha sin dominio; las tres ciudades (Berlin, Colonia, Frankfurt) coinciden exacto. La version inglesa solo muestra 11 programas: el catalogo aleman (/de/) es mas amplio, extraer desde ahi."
Munich Business School,dominio_nuevo,munich-business-school.de,,https://www.munich-business-school.de/master,13,pregrado;posgrado;MBA;DBA;educacion continua,"El dominio de la ficha decia ""nait"", que no es un dominio - es basura de captura, probablemente arrastrada de otra fila. El sitio real existe y lista catalogo."
Munich University of Digital Technologies & Applied Sciences,dominio_nuevo,uni-munich.de,Munich University of Digital Technologies & Applied Sciences (MUDT),https://uni-munich.de/programs/,5,pregrado;posgrado,"Ficha sin dominio. Universidad muy nueva (reconocida por Baviera en abril 2025) con solo 5 programas de ingenieria. Cuidado: uni-munich.de se parece a la LMU (uni-muenchen.de) y no tienen nada que ver."
SAE Institute GmbH,dominio_nuevo,sae.edu,SAE Institute,https://www.sae.edu/deu/unsere-kurse/,12,vocacional;pregrado;posgrado;certificados,"Ficha sin dominio. sae.edu es el dominio global: el catalogo aleman cuelga de /deu/ y hay que anclar ahi o se extraen cursos de otros paises. Los bachelor los titula la University of Hertfordshire (UK)."
SRH Berlin University of Applied Sciences,dominio_nuevo,srh-university.de,SRH University,https://www.srh-university.de/de/programmfinder/,200,pregrado;posgrado;MBA;certificados;dual,"srh-berlin.de redirige 301: SRH Berlin ya no existe como marca propia, se fusiono en SRH University (18 sedes). El programfinder devuelve los 200+ programas del grupo entero - hay que filtrar por campus Berlin o se cargaran programas de Heidelberg, Hamburgo, etc. como si fueran de esta ficha."
SRH INTERNATIONAL COLLEGE (SRHIC),dominio_nuevo,srh-international-college.de,SRH International College,https://www.srh-international-college.de/study/,7,pathway (foundation;pre-master;ingles intensivo),"Ficha sin dominio. Entidad distinta de SRH University (es un associate college del grupo Navitas): no mezclar su catalogo con el de la ficha anterior. Sedes Heidelberg y Berlin."
Schiller Langue School,dominio_nuevo,german-language.school,Schiller Language School GmbH & Co. KG,https://german-language.school/german-language-courses.php,10,idiomas (A1-C1);Studienkolleg;Ausbildung,"El dominio de la ficha esta muerto: www.schiller-language-school.com da NXDOMAIN y el apice rechaza la conexion. El sitio vivo es german-language.school, con sedes Berlin y Bonn."
